y qnum qana
0.000000 1.00000000e+00 1.00006921e+00
0.012500 9.78377952e-01 9.80898737e-01
0.025000 9.59145974e-01 9.62790063e-01
0.037500 9.42168396e-01 9.45648657e-01
0.050000 9.26059272e-01 9.29391366e-01
0.062500 9.10749275e-01 9.13944712e-01
0.075000 8.96173542e-01 8.99243491e-01
0.087500 8.82276198e-01 8.85229614e-01
0.100000 8.69005174e-01 8.71851138e-01
0.112500 8.56315918e-01 8.59061453e-01
0.125000 8.44165965e-01 8.46818601e-01
0.137500 8.32519426e-01 8.35084694e-01
0.150000 8.21341150e-01 8.23825420e-01
0.162500 8.10601997e-01 8.13009619e-01
0.175000 8.00272457e-01 8.02608925e-01
0.187500 7.90328733e-01 7.92597445e-01
0.200000 7.80745705e-01 7.82951496e-01
0.212500 7.71503885e-01 7.73649361e-01
0.225000 7.62581583e-01 7.64671090e-01
0.237500 7.53962843e-01 7.55998316e-01
0.250000 7.45628671e-01 7.47614098e-01
0.262500 7.37566049e-01 7.39502782e-01
0.275000 7.29758100e-01 7.31649877e-01
0.287500 7.22194299e-01 7.24041948e-01
0.300000 7.14859413e-01 7.16666517e-01
0.312500 7.07745076e-01 7.09511978e-01
0.325000 7.00837315e-01 7.02567521e-01
0.337500 6.94129666e-01 6.95823062e-01
0.350000 6.87609094e-01 6.89269182e-01
0.362500 6.81270854e-01 6.82897071e-01
0.375000 6.75102569e-01 6.76698480e-01
0.387500 6.69101080e-01 6.70665673e-01
0.400000 6.63254423e-01 6.64791391e-01
0.412500 6.57560938e-01 6.59068809e-01
0.425000 6.52008849e-01 6.53491509e-01
0.437500 6.46597951e-01 6.48053447e-01
0.450000 6.41316447e-01 6.42748922e-01
0.462500 6.36165572e-01 6.37572559e-01
0.475000 6.31133305e-01 6.32519278e-01
0.487500 6.26222344e-01 6.27584277e-01
0.500000 6.21420240e-01 6.22763013e-01
0.512500 6.16731207e-01 6.18051183e-01
0.525000 6.12142162e-01 6.13444709e-01
0.537500 6.07658917e-01 6.08939723e-01
0.550000 6.03267541e-01 6.04532551e-01
0.562500 5.98975558e-01 6.00219705e-01
0.575000 5.94767955e-01 5.95997867e-01
0.587500 5.90654121e-01 5.91863881e-01
0.600000 5.86617708e-01 5.87814741e-01
0.612500 5.82670155e-01 5.83847585e-01
0.625000 5.78793500e-01 5.79959683e-01
0.637500 5.75001459e-01 5.76148430e-01
0.650000 5.71274149e-01 5.72411341e-01
0.662500 5.67627829e-01 5.68746041e-01
0.675000 5.64040349e-01 5.65150261e-01
0.687500 5.60530831e-01 5.61621830e-01
0.700000 5.57074460e-01 5.58158672e-01
0.712500 5.53693603e-01 5.54758800e-01
0.725000 5.50360331e-01 5.51420308e-01
0.737500 5.47100692e-01 5.48141372e-01
0.750000 5.43883135e-01 5.44920242e-01
0.762500 5.40737906e-01 5.41755240e-01
0.775000 5.37629240e-01 5.38644753e-01
0.787500 5.34592184e-01 5.35587235e-01
0.800000 5.31586081e-01 5.32581199e-01
0.812500 5.28651482e-01 5.29625216e-01
0.825000 5.25742058e-01 5.26717913e-01
0.837500 5.22904677e-01 5.23857968e-01
0.850000 5.20086440e-01 5.21044109e-01
0.862500 5.17341480e-01 5.18275111e-01
0.875000 5.14609283e-01 5.15549796e-01
0.887500 5.11952353e-01 5.12867026e-01
0.900000 5.09301357e-01 5.10225705e-01
0.912500 5.06728448e-01 5.07624778e-01
0.925000 5.04154076e-01 5.05063226e-01
0.937500 5.01661539e-01 5.02540064e-01
0.950000 4.99159447e-01 5.00054343e-01
0.962500 4.96743975e-01 4.97605146e-01
0.975000 4.94309954e-01 4.95191588e-01
0.987500 4.91802925e-01 4.92812813e-01
1.000000 4.91802925e-01 4.90467993e-01
