t u
0.0500 0.07080
0.1000 0.04300
0.1500 0.09620
0.2000 0.13070
0.2500 0.29840
0.3000 0.75490
0.3500 1.79420
0.4000 3.74340
0.4500 6.06720
0.5000 8.97400
0.5500 9.34210
0.6000 6.97550
0.6500 4.44490
0.7000 2.95780
0.7500 2.71310
0.8000 3.06160
0.8500 3.57160
0.9000 3.72700
0.9500 3.84050
1.0000 4.44590
1.0500 4.38870
1.1000 3.72100
1.1500 2.97160
1.2000 3.29180
1.2500 3.57100
1.3000 3.50260
1.3500 2.99100
1.4000 3.24250
1.4500 3.38680
1.5000 3.23840
1.5500 2.89210
1.6000 3.06150
1.6500 3.14360
1.7000 3.11480
1.7500 3.10670
1.8000 3.19400
1.8500 3.35900
1.9000 3.52820
1.9500 3.64560
2.0000 3.68520
2.0500 3.67180
2.1000 3.64250
2.1500 3.62060
2.2000 3.61590
2.2500 3.63830
2.3000 3.67490
2.3500 3.70460
2.4000 3.72980
2.4500 3.77200
2.5000 3.84420
2.5500 3.89520
2.6000 3.90110
2.6500 3.85560
2.7000 3.86610
2.7500 3.88730
2.8000 3.86440
2.8500 3.79070
2.9000 3.75970
2.9500 3.85480
3.0000 3.92220
3.0500 3.95770
3.1000 3.97930
3.1500 3.99990
3.2000 4.02270
3.2500 4.04290
3.3000 4.05520
3.3500 4.05740
3.4000 4.04860
3.4500 4.03260
3.5000 4.01540
3.5500 4.00910
3.6000 4.03130
3.6500 4.05350
3.7000 4.07610
3.7500 4.09670
3.8000 4.10500
3.8500 4.08410
3.9000 4.02440
3.9500 4.03460
4.0000 4.10060
4.0500 4.13310
4.1000 4.13260
4.1500 4.12270
4.2000 4.12350
4.2500 4.13660
4.3000 4.15070
4.3500 4.15570
4.4000 4.15000
4.4500 4.13830
4.5000 4.12490
4.5500 4.11350
4.6000 4.12580
4.6500 4.14270
4.7000 4.16180
4.7500 4.18270
4.8000 4.19840
4.8500 4.19450
4.9000 4.15730
4.9500 4.10240
5.0000 4.17130
5.0500 4.21390
5.1000 4.22020
5.1500 4.20430
5.2000 4.19010
5.2500 4.18770
5.3000 4.19250
5.3500 4.19510
5.4000 4.19140
5.4500 4.18280
5.5000 4.17390
5.5500 4.16780
5.6000 4.17050
5.6500 4.18200
5.7000 4.19820
5.7500 4.22000
5.8000 4.24030
5.8500 4.24430
5.9000 4.21810
5.9500 4.16200
6.0000 4.20260
6.0500 4.24670
6.1000 4.25670
6.1500 4.24310
6.2000 4.22570
6.2500 4.21640
6.3000 4.21440
6.3500 4.21400
6.4000 4.21030
6.4500 4.20440
6.5000 4.19960
6.5500 4.19850
6.6000 4.19910
6.6500 4.20270
6.7000 4.21660
6.7500 4.23840
6.8000 4.26030
6.8500 4.26700
6.9000 4.24530
6.9500 4.19710
7.0000 4.22460
7.0500 4.26330
7.1000 4.27170
7.1500 4.25950
7.2000 4.24270
7.2500 4.23150
7.3000 4.22670
7.3500 4.22380
7.4000 4.22000
7.4500 4.21620
7.5000 4.21510
7.5500 4.21820
7.6000 4.22210
7.6500 4.21940
7.7000 4.22900
7.7500 4.25090
7.8000 4.27220
7.8500 4.27730
7.9000 4.25590
7.9500 4.21270
8.0000 4.24370
8.0500 4.27360
8.1000 4.27760
8.1500 4.26570
8.2000 4.25030
8.2500 4.23950
8.3000 4.23370
8.3500 4.22970
8.4000 4.22620
8.4500 4.22560
8.5000 4.22690
8.5500 4.23320
8.6000 4.23850
8.6500 4.23480
8.7000 4.23980
8.7500 4.26190
8.8000 4.28030
8.8500 4.28110
8.9000 4.25780
8.9500 4.22000
9.0000 4.25970
9.0500 4.28000
9.1000 4.27930
9.1500 4.26700
9.2000 4.25350
9.2500 4.24400
9.3000 4.23790
9.3500 4.23370
9.4000 4.23770
9.4500 4.23910
9.5000 4.23780
9.5500 4.24610
9.6000 4.25060
9.6500 4.24380
9.7000 4.25080
9.7500 4.27200
9.8000 4.28570
9.8500 4.28040
