Decaying MHD turbulence in a confined disc -- Neffaa, Bos & Schneider (2008)   DEMONSTRATOR
backend Threads   precision FP64   D2Q9 fluid + D2Q5 magnetic   operator MhdCM

  Eq. (11) mixing: beta 0.042017 gives cos(theta) 0.043818 against Table I's 0.043818  (<u.w> = -0.0000)
  vector potential: max|curl a - b| / max|b| = 4.563e-15
  N 321   disc, half-width 152.5 (48% of the box)   73045 fluid nodes
  OPERATOR (dispatched) MhdCM   fluid forcing FieldGuo (penalisation ACTIVE)   magnetic source penalised B.n
  Re 1000   Pr_m 1.00   nu 0.01525 (tau 0.5457)   eta 0.01525 (omega_mag 1.8324)
  wall PENALISATION   eps 2.00 (fluid)  eps_m 2.00 (magnetic)  chi width 1.00 cells   no solid, no wall condition
  NEFFAA REGIME 1 (Table I)   spectrum E(k) ~ k/[0.98 + k/((3/4)sqrt(2)pi)]^4   r = (19/20)pi in a 2pi box
  u_rms 0.0500 (Ma 0.0866)   k^-3 spectrum   E_kin/E_mag 0.300   walls penalised, B.n = 0 (perfect conductor)   seed 99
  one turnover 2R/u0 = 6099 steps; running 304950 (50.0 turnovers)

      step    t/T_e       E_kin       E_mag   E_k/E_m        E/A   enstrophy       <j^2>     L_u     L_b      H_c       |<b>|      max|b|     dv/cl      bulk  Bn/B|wall
  --------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0     0.00  1.2500e-03  4.1667e-03    0.3000      5.486  3.7655e-05  1.0853e-04    8.15    8.76  +0.0438  3.8051e-07  4.1371e-01  8.69e-16  8.69e-16  3.021e-02
      6099     1.00  7.3922e-05  1.5433e-03    0.0479       1.93  1.6603e-06  5.2920e-06    9.44   24.15  -0.1499  1.4647e-03  1.2226e-01  4.57e-02  4.21e-02  1.708e-02
     12198     2.00  1.1075e-05  1.1590e-03    0.0096      1.594  1.8090e-07  2.6705e-06   11.07   29.46  -0.4388  2.8899e-03  1.2610e-01  9.27e-02  8.72e-02  1.383e-02
     18297     3.00  7.3555e-06  9.1334e-04    0.0081      1.414  1.2725e-07  1.9526e-06   10.75   30.59  -0.3112  3.7208e-03  1.2258e-01  1.25e-01  1.19e-01  1.478e-02
     24396     4.00  1.7347e-05  7.2502e-04    0.0239      1.276  3.0051e-07  1.5610e-06   10.74   30.48  +0.0333  4.2624e-03  1.1551e-01  1.50e-01  1.43e-01  1.646e-02
     30495     5.00  3.4692e-05  5.6495e-04    0.0614      1.145  8.7297e-07  1.4480e-06    8.92   27.93  +0.1273  4.6178e-03  1.0635e-01  1.61e-01  1.53e-01  1.721e-02
     36594     6.00  3.2718e-05  4.2285e-04    0.0774     0.9641  9.8037e-07  1.9472e-06    8.17   20.84  +0.0030  4.8335e-03  9.7037e-02  1.40e-01  1.34e-01  1.647e-02
     42693     7.00  3.8734e-05  3.0309e-04    0.1278     0.8079  1.2378e-06  1.2740e-06    7.91   21.81  -0.0988  4.7430e-03  7.0964e-02  1.54e-01  1.53e-01  1.890e-02
     48792     8.00  2.2431e-05  2.3475e-04    0.0956     0.6781  4.7111e-07  7.0752e-07    9.76   25.76  -0.1517  4.3298e-03  6.9584e-02  1.77e-01  1.76e-01  1.177e-02
     54891     9.00  9.9597e-06  1.9390e-04    0.0514     0.5935  2.0361e-07  5.0786e-07    9.89   27.63  -0.1917  3.9160e-03  6.7971e-02  1.96e-01  1.91e-01  1.177e-02
     60990    10.00  3.9468e-06  1.6406e-04    0.0241     0.5352  9.0368e-08  4.1316e-07    9.35   28.18  -0.2399  3.5607e-03  6.6116e-02  2.08e-01  2.02e-01  1.209e-02
     67089    11.00  2.0738e-06  1.4004e-04    0.0148     0.4905  4.8510e-08  3.5580e-07    9.25   28.06  -0.2457  3.2451e-03  6.3585e-02  2.15e-01  2.08e-01  1.213e-02
