Decaying MHD turbulence in a confined disc -- Neffaa, Bos & Schneider (2008)   DEMONSTRATOR
backend Threads   precision FP64   D2Q9 fluid + D2Q5 magnetic   operator MhdCMS

  Eq. (11) mixing: beta 0.349698 gives cos(theta) 0.473611 against Table I's 0.473611  (<u.w> = -0.0000)
  vector potential: max|curl a - b| / max|b| = 4.426e-15
  N 321   disc, half-width 152.5 (48% of the box)   73045 fluid nodes
  OPERATOR (dispatched) MhdCMS   fluid forcing FieldGuo (penalisation ACTIVE)   magnetic source penalised B.n
  Re 1750   Pr_m 1.00   nu 0.00871 (tau 0.5261)   eta 0.00871 (omega_mag 1.9006)
  wall PENALISATION   eps 2.00 (fluid)  eps_m 2.00 (magnetic)  chi width 1.00 cells   no solid, no wall condition
  NEFFAA REGIME 3 (Table I)   spectrum E(k) ~ k/[0.98 + k/((3/4)sqrt(2)pi)]^4   r = (19/20)pi in a 2pi box
  u_rms 0.0500 (Ma 0.0866)   k^-3 spectrum   E_kin/E_mag 1.300   walls penalised, B.n = 0 (perfect conductor)   seed 99
  one turnover 2R/u0 = 6099 steps; running 304950 (50.0 turnovers)

      step    t/T_e       E_kin       E_mag   E_k/E_m        E/A   enstrophy       <j^2>     L_u     L_b      H_c       |<b>|      max|b|     dv/cl      bulk  Bn/B|wall
    152475    25.00  5.1114e-07  1.5763e-05    0.0324     0.3541  8.8864e-09  4.8776e-08   10.73   25.42  +0.0577  1.1420e-03  2.0628e-02  2.02e-01  1.97e-01  7.722e-03
    158574    26.00  4.4099e-07  1.4399e-05    0.0306     0.3347  7.4684e-09  4.4701e-08   10.87   25.38  +0.0350  1.0733e-03  1.9714e-02  2.00e-01  1.96e-01  7.624e-03
    164673    27.00  3.8756e-07  1.3186e-05    0.0294     0.3169  6.4291e-09  4.1153e-08   10.98   25.31  +0.0301  1.0070e-03  1.8859e-02  1.98e-01  1.94e-01  7.510e-03
    170772    28.00  3.4362e-07  1.2101e-05    0.0284     0.3004  5.6058e-09  3.7838e-08   11.07   25.29  +0.0339  9.4288e-04  1.8024e-02  1.96e-01  1.92e-01  7.446e-03
    176871    29.00  3.0753e-07  1.1128e-05    0.0276     0.2852  4.9381e-09  3.4649e-08   11.16   25.34  +0.0395  8.8088e-04  1.7214e-02  1.94e-01  1.90e-01  7.333e-03
    182970    30.00  2.7741e-07  1.0259e-05    0.0270     0.2711  4.3720e-09  3.1596e-08   11.27   25.48  +0.0435  8.2082e-04  1.6422e-02  1.91e-01  1.88e-01  7.174e-03
    189069    31.00  2.5086e-07  9.4858e-06    0.0264     0.2581  3.8623e-09  2.8717e-08   11.40   25.70  +0.0450  7.6266e-04  1.5682e-02  1.89e-01  1.85e-01  6.971e-03
    195168    32.00  2.2587e-07  8.7983e-06    0.0257     0.2463  3.3822e-09  2.6034e-08   11.56   26.00  +0.0445  7.0639e-04  1.5006e-02  1.86e-01  1.83e-01  6.719e-03
    201267    33.00  2.0129e-07  8.1881e-06    0.0246     0.2355  2.9236e-09  2.3555e-08   11.73   26.37  +0.0429  6.5200e-04  1.4370e-02  1.82e-01  1.80e-01  6.435e-03
    207366    34.00  1.7677e-07  7.6470e-06    0.0231     0.2257  2.4908e-09  2.1279e-08   11.91   26.81  +0.0407  5.9947e-04  1.3768e-02  1.79e-01  1.76e-01  6.123e-03
    213465    35.00  1.5265e-07  7.1670e-06    0.0213     0.2168  2.0947e-09  1.9199e-08   12.07   27.32  +0.0386  5.4877e-04  1.3197e-02  1.75e-01  1.73e-01  5.786e-03
    219564    36.00  1.2961e-07  6.7411e-06    0.0192     0.2088  1.7465e-09  1.7308e-08   12.18   27.91  +0.0367  4.9985e-04  1.2651e-02  1.72e-01  1.69e-01  5.425e-03
    225663    37.00  1.0848e-07  6.3625e-06    0.0171     0.2017  1.4548e-09  1.5598e-08   12.21   28.56  +0.0351  4.5266e-04  1.2128e-02  1.68e-01  1.65e-01  5.042e-03
    231762    38.00  9.0049e-08  6.0252e-06    0.0149     0.1953  1.2228e-09  1.4064e-08   12.14   29.27  +0.0340  4.0716e-04  1.1623e-02  1.63e-01  1.61e-01  4.640e-03
    237861    39.00  7.4873e-08  5.7238e-06    0.0131     0.1897  1.0492e-09  1.2697e-08   11.95   30.03  +0.0333  3.6330e-04  1.1137e-02  1.59e-01  1.57e-01  4.223e-03
    243960    40.00  6.3263e-08  5.4533e-06    0.0116     0.1847  9.2817e-10  1.1490e-08   11.68   30.81  +0.0328  3.2108e-04  1.0671e-02  1.54e-01  1.52e-01  3.795e-03
    250059    41.00  5.5258e-08  5.2095e-06    0.0106     0.1804  8.5163e-10  1.0434e-08   11.39   31.60  +0.0324  2.8051e-04  1.0229e-02  1.50e-01  1.48e-01  3.363e-03
    256158    42.00  5.0661e-08  4.9886e-06    0.0102     0.1766  8.1054e-10  9.5143e-09   11.18   32.38  +0.0320  2.4169e-04  9.8137e-03  1.45e-01  1.43e-01  2.934e-03
    262257    43.00  4.9105e-08  4.7873e-06    0.0103     0.1732  7.9617e-10  8.7187e-09   11.11   33.14  +0.0314  2.0477e-04  9.4303e-03  1.41e-01  1.38e-01  2.515e-03
    268356    44.00  5.0110e-08  4.6029e-06    0.0109     0.1703  8.0082e-10  8.0323e-09   11.19   33.85  +0.0307  1.7008e-04  9.0761e-03  1.38e-01  1.34e-01  2.116e-03
    274455    45.00  5.3155e-08  4.4331e-06    0.0120     0.1677  8.1818e-10  7.4405e-09   11.40   34.52  +0.0300  1.3825e-04  8.7479e-03  1.35e-01  1.30e-01  1.742e-03
