Decaying MHD turbulence in a confined disc -- Neffaa, Bos & Schneider (2008)   DEMONSTRATOR
backend Threads   precision FP64   D2Q9 fluid + D2Q5 magnetic   operator MhdCM

  Eq. (11) mixing: beta 0.000001 gives cos(theta) 0.000001 against Table I's 0.000001  (<u.w> = -0.0000)
  vector potential: max|curl a - b| / max|b| = 4.373e-15
  N 321   disc, half-width 152.5 (48% of the box)   73045 fluid nodes
  OPERATOR (dispatched) MhdCM   fluid forcing FieldGuo (penalisation ACTIVE)   magnetic source penalised B.n
  Re 1000   Pr_m 1.00   nu 0.01525 (tau 0.5457)   eta 0.01525 (omega_mag 1.8324)
  wall PENALISATION   eps 2.00 (fluid)  eps_m 2.00 (magnetic)  chi width 1.00 cells   no solid, no wall condition
  NEFFAA REGIME 2 (Table I)   spectrum E(k) ~ k/[0.98 + k/((3/4)sqrt(2)pi)]^4   r = (19/20)pi in a 2pi box
  u_rms 0.0500 (Ma 0.0866)   k^-3 spectrum   E_kin/E_mag 19000.000   walls penalised, B.n = 0 (perfect conductor)   seed 99
  one turnover 2R/u0 = 6099 steps; running 304950 (50.0 turnovers)

      step    t/T_e       E_kin       E_mag   E_k/E_m        E/A   enstrophy       <j^2>     L_u     L_b      H_c       |<b>|      max|b|     dv/cl      bulk  Bn/B|wall
  --------------------------------------------------------------------------------------------------------------------------------------------------------------------
    121980    20.00  1.9895e-06  5.0075e-11 39730.5641  2.498e+05  3.8322e-09  8.8012e-14   32.22   33.73  -0.2739  7.8158e-07  2.4981e-05  1.12e-01  1.07e-01  2.672e-03
    128079    21.00  1.6694e-06  4.7787e-11 34933.7448  2.328e+05  3.0944e-09  7.9784e-14   32.85   34.61  -0.3054  7.4596e-07  2.3590e-05  1.10e-01  1.04e-01  2.563e-03
    134178    22.00  1.4099e-06  4.5609e-11 30913.5031   2.18e+05  2.5198e-09  7.2681e-14   33.45   35.43  -0.3361  7.1424e-07  2.2269e-05  1.06e-01  1.01e-01  2.519e-03
    140277    23.00  1.1979e-06  4.3544e-11 27510.7862  2.049e+05  2.0690e-09  6.6372e-14   34.03   36.22  -0.3655  6.8564e-07  2.1071e-05  1.03e-01  9.83e-02  2.531e-03
    146376    24.00  1.0232e-06  4.1599e-11 24596.9495  1.932e+05  1.7125e-09  6.0689e-14   34.57   37.03  -0.3933  6.5956e-07  1.9959e-05  9.95e-02  9.51e-02  2.514e-03
    152475    25.00  8.7810e-07  3.9783e-11 22072.1136  1.827e+05  1.4281e-09  5.5542e-14   35.07   37.85  -0.4196  6.3548e-07  1.8931e-05  9.60e-02  9.19e-02  2.474e-03
    158574    26.00  7.5670e-07  3.8101e-11 19860.3574  1.732e+05  1.1993e-09  5.0883e-14   35.52   38.70  -0.4442  6.1304e-07  1.8006e-05  9.26e-02  8.86e-02  2.502e-03
    164673    27.00  6.5444e-07  3.6551e-11 17904.5370  1.644e+05  1.0136e-09  4.6677e-14   35.93   39.57  -0.4672  5.9196e-07  1.7635e-05  8.91e-02  8.54e-02  2.451e-03
    170772    28.00  5.6777e-07  3.5131e-11 16161.7212  1.562e+05  8.6156e-10  4.2895e-14   36.30   40.47  -0.4887  5.7204e-07  1.7214e-05  8.58e-02  8.23e-02  2.387e-03
    176871    29.00  4.9393e-07  3.3832e-11 14599.4906  1.484e+05  7.3605e-10  3.9508e-14   36.63   41.38  -0.5088  5.5314e-07  1.6759e-05  8.26e-02  7.92e-02  2.314e-03
