Decaying MHD turbulence in a confined disc -- Neffaa, Bos & Schneider (2008)   DEMONSTRATOR
backend Threads   precision FP64   D2Q9 fluid + D2Q5 magnetic   operator MhdCM

  Eq. (11) mixing: beta 0.082877 gives cos(theta) 0.090000 against Table I's 0.090000  (<u.w> = -0.0000)
  vector potential: max|curl a - b| / max|b| = 4.100e-15
  N 321   disc, half-width 152.5 (48% of the box)   73045 fluid nodes
  OPERATOR (dispatched) MhdCM   fluid forcing FieldGuo (penalisation ACTIVE)   magnetic source penalised B.n
  Re 1000   Pr_m 1.00   nu 0.01525 (tau 0.5457)   eta 0.01525 (omega_mag 1.8324)
  wall PENALISATION   eps 2.00 (fluid)  eps_m 2.00 (magnetic)  chi width 1.00 cells   no solid, no wall condition
  NEFFAA REGIME 4 (Table I)   spectrum E(k) ~ k/[0.98 + k/((3/4)sqrt(2)pi)]^4   r = (19/20)pi in a 2pi box
  u_rms 0.0500 (Ma 0.0866)   k^-3 spectrum   E_kin/E_mag 1.000   walls penalised, B.n = 0 (perfect conductor)   seed 99
  one turnover 2R/u0 = 6099 steps; running 304950 (50.0 turnovers)

      step    t/T_e       E_kin       E_mag   E_k/E_m        E/A   enstrophy       <j^2>     L_u     L_b      H_c       |<b>|      max|b|     dv/cl      bulk  Bn/B|wall
  --------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0     0.00  1.2500e-03  1.2500e-03    1.0000      8.507  3.7655e-05  3.2636e-05    8.15    8.75  +0.0900  2.1543e-07  2.2204e-01  8.68e-16  8.68e-16  3.068e-02
      6099     1.00  8.6478e-05  4.8200e-04    0.1794      2.405  1.1508e-06  2.1853e-06   12.26   21.00  +0.0037  8.3645e-04  7.3089e-02  3.65e-02  3.29e-02  1.263e-02
     12198     2.00  1.2876e-05  3.4553e-04    0.0373      1.744  1.9897e-07  9.8862e-07   11.38   26.44  -0.0600  1.3170e-03  6.4969e-02  8.01e-02  7.55e-02  1.491e-02
     18297     3.00  5.2429e-06  2.6428e-04    0.0198      1.483  6.7633e-08  5.8678e-07   12.45   30.01  -0.0639  1.8303e-03  6.4027e-02  1.16e-01  1.10e-01  1.473e-02
     24396     4.00  4.0713e-06  2.0998e-04    0.0194       1.32  5.2458e-08  4.4208e-07   12.46   30.82  -0.0316  2.0905e-03  5.9272e-02  1.40e-01  1.33e-01  1.562e-02
     30495     5.00  2.9679e-06  1.6924e-04    0.0175      1.181  4.6840e-08  3.5205e-07   11.26   31.01  -0.0839  2.2775e-03  5.4738e-02  1.60e-01  1.53e-01  1.576e-02
     36594     6.00  1.9375e-06  1.3815e-04    0.0140      1.062  3.8582e-08  2.9649e-07   10.02   30.53  -0.1964  2.3763e-03  4.9706e-02  1.74e-01  1.66e-01  1.548e-02
     42693     7.00  1.3050e-06  1.1391e-04    0.0115     0.9602  2.8113e-08  2.5523e-07    9.64   29.88  -0.3115  2.4070e-03  4.4190e-02  1.82e-01  1.74e-01  1.494e-02
     48792     8.00  1.1316e-06  9.4936e-05    0.0119     0.8762  2.3260e-08  2.2257e-07    9.86   29.21  -0.3624  2.3871e-03  3.8243e-02  1.87e-01  1.79e-01  1.427e-02
     54891     9.00  1.1452e-06  7.9651e-05    0.0144     0.8029  2.3890e-08  1.9211e-07    9.79   28.80  -0.3425  2.3272e-03  3.2344e-02  1.89e-01  1.82e-01  1.354e-02
     60990    10.00  1.2397e-06  6.7263e-05    0.0184      0.738  2.6875e-08  1.6126e-07    9.61   28.88  -0.2877  2.2309e-03  2.8131e-02  1.91e-01  1.85e-01  1.252e-02
     67089    11.00  1.3162e-06  5.7260e-05    0.0230     0.6802  2.8112e-08  1.3266e-07    9.68   29.38  -0.2359  2.1052e-03  2.7353e-02  1.92e-01  1.87e-01  1.015e-02
     73188    12.00  1.2642e-06  4.9175e-05    0.0257     0.6276  2.5131e-08  1.0967e-07   10.03   29.95  -0.1978  1.9612e-03  2.6445e-02  1.92e-01  1.88e-01  1.002e-02
     79287    13.00  1.0898e-06  4.2612e-05    0.0256     0.5796  1.9813e-08  9.2172e-08   10.49   30.41  -0.1677  1.8096e-03  2.5389e-02  1.92e-01  1.88e-01  9.754e-03
     85386    14.00  8.6920e-07  3.7248e-05    0.0233     0.5365  1.4526e-08  7.8605e-08   10.94   30.79  -0.1420  1.6574e-03  2.4191e-02  1.91e-01  1.87e-01  9.403e-03
     91485    15.00  6.5926e-07  3.2830e-05    0.0201     0.4983  1.0236e-08  6.7736e-08   11.35   31.13  -0.1204  1.5084e-03  2.2947e-02  1.89e-01  1.85e-01  9.234e-03
     97584    16.00  4.8317e-07  2.9159e-05    0.0166     0.4648  7.0407e-09  5.8759e-08   11.72   31.50  -0.1036  1.3648e-03  2.1672e-02  1.86e-01  1.82e-01  8.964e-03
    103683    17.00  3.4517e-07  2.6083e-05    0.0132     0.4356  4.7624e-09  5.1165e-08   12.04   31.93  -0.0919  1.2274e-03  2.0411e-02  1.82e-01  1.78e-01  8.582e-03
    109782    18.00  2.4199e-07  2.3488e-05    0.0103       0.41  3.1934e-09  4.4649e-08   12.31   32.44  -0.0849  1.0965e-03  1.9179e-02  1.77e-01  1.74e-01  8.108e-03
    115881    19.00  1.6818e-07  2.1287e-05    0.0079     0.3878  2.1556e-09  3.9033e-08   12.49   33.03  -0.0824  9.7175e-04  1.8016e-02  1.72e-01  1.68e-01  7.557e-03
    121980    20.00  1.1812e-07  1.9408e-05    0.0061     0.3685  1.5073e-09  3.4200e-08   12.52   33.69  -0.0833  8.5298e-04  1.6984e-02  1.65e-01  1.62e-01  6.926e-03
    128079    21.00  8.6803e-08  1.7793e-05    0.0049     0.3517  1.1369e-09  3.0061e-08   12.36   34.41  -0.0861  7.3987e-04  1.6015e-02  1.58e-01  1.55e-01  6.247e-03
    134178    22.00  6.9928e-08  1.6397e-05    0.0043     0.3371  9.5851e-10  2.6539e-08   12.08   35.15  -0.0884  6.3216e-04  1.5105e-02  1.50e-01  1.47e-01  5.540e-03
    140277    23.00  6.3938e-08  1.5180e-05    0.0042     0.3243  9.0650e-10  2.3556e-08   11.88   35.90  -0.0879  5.2967e-04  1.4260e-02  1.43e-01  1.40e-01  4.821e-03
    146376    24.00  6.5934e-08  1.4110e-05    0.0047      0.313  9.3294e-10  2.1040e-08   11.89   36.62  -0.0844  4.3228e-04  1.3486e-02  1.35e-01  1.32e-01  4.144e-03
    152475    25.00  7.3594e-08  1.3161e-05    0.0056      0.303  1.0041e-09  1.8918e-08   12.11   37.30  -0.0795  3.3999e-04  1.2781e-02  1.29e-01  1.25e-01  3.522e-03
    158574    26.00  8.5092e-08  1.2312e-05    0.0069      0.294  1.0973e-09  1.7124e-08   12.45   37.92  -0.0746  2.5306e-04  1.2147e-02  1.24e-01  1.19e-01  2.904e-03
    164673    27.00  9.9025e-08  1.1545e-05    0.0086     0.2859  1.1982e-09  1.5600e-08   12.86   38.47  -0.0706  1.7240e-04  1.1584e-02  1.21e-01  1.15e-01  2.302e-03
    170772    28.00  1.1435e-07  1.0848e-05    0.0105     0.2784  1.2979e-09  1.4295e-08   13.27   38.96  -0.0674  1.0193e-04  1.1075e-02  1.20e-01  1.13e-01  1.845e-03
    176871    29.00  1.3032e-07  1.0207e-05    0.0128     0.2715  1.3916e-09  1.3167e-08   13.69   39.37  -0.0650  6.3287e-05  1.0615e-02  1.20e-01  1.12e-01  1.825e-03
    182970    30.00  1.4645e-07  9.6144e-06    0.0152     0.2651  1.4767e-09  1.2181e-08   14.08   39.73  -0.0631  9.3417e-05  1.0197e-02  1.23e-01  1.14e-01  1.807e-03
    189069    31.00  1.6242e-07  9.0629e-06    0.0179      0.259  1.5519e-09  1.1309e-08   14.47   40.03  -0.0616  1.5135e-04  9.8158e-03  1.27e-01  1.17e-01  1.846e-03
    195168    32.00  1.7807e-07  8.5466e-06    0.0208     0.2532  1.6169e-09  1.0528e-08   14.84   40.29  -0.0602  2.1233e-04  9.4665e-03  1.32e-01  1.22e-01  1.958e-03
    201267    33.00  1.9334e-07  8.0612e-06    0.0240     0.2477  1.6719e-09  9.8221e-09   15.21   40.51  -0.0588  2.7195e-04  9.1444e-03  1.39e-01  1.28e-01  2.049e-03
    207366    34.00  2.0821e-07  7.6032e-06    0.0274     0.2425  1.7174e-09  9.1768e-09   15.57   40.71  -0.0574  3.2922e-04  8.8455e-03  1.46e-01  1.35e-01  2.120e-03
    213465    35.00  2.2272e-07  7.1700e-06    0.0311     0.2375  1.7538e-09  8.5820e-09   15.94   40.88  -0.0558  3.8389e-04  8.5666e-03  1.54e-01  1.43e-01  2.171e-03
    219564    36.00  2.3689e-07  6.7596e-06    0.0350     0.2328  1.7817e-09  8.0301e-09   16.31   41.03  -0.0539  4.3591e-04  8.3050e-03  1.63e-01  1.52e-01  2.206e-03
    225663    37.00  2.5073e-07  6.3705e-06    0.0394     0.2283  1.8019e-09  7.5151e-09   16.68   41.17  -0.0518  4.8535e-04  8.0584e-03  1.72e-01  1.61e-01  2.225e-03
    231762    38.00  2.6423e-07  6.0015e-06    0.0440      0.224  1.8147e-09  7.0330e-09   17.07   41.31  -0.0496  5.3228e-04  7.8250e-03  1.81e-01  1.70e-01  2.229e-03
    237861    39.00  2.7735e-07  5.6517e-06    0.0491     0.2201  1.8206e-09  6.5805e-09   17.46   41.45  -0.0471  5.7679e-04  7.6033e-03  1.91e-01  1.80e-01  2.445e-03
    243960    40.00  2.9004e-07  5.3203e-06    0.0545     0.2164  1.8202e-09  6.1554e-09   17.85   41.58  -0.0445  6.1899e-04  7.3921e-03  2.01e-01  1.90e-01  2.654e-03
    250059    41.00  3.0221e-07  5.0069e-06    0.0604      0.213  1.8138e-09  5.7559e-09   18.25   41.71  -0.0418  6.5896e-04  7.1906e-03  2.11e-01  2.00e-01  2.844e-03
    256158    42.00  3.1375e-07  4.7107e-06    0.0666       0.21  1.8020e-09  5.3806e-09   18.66   41.85  -0.0392  6.9681e-04  6.9980e-03  2.21e-01  2.10e-01  3.017e-03
    262257    43.00  3.2457e-07  4.4314e-06    0.0732     0.2073  1.7853e-09  5.0281e-09   19.07   41.98  -0.0366  7.3261e-04  6.8135e-03  2.32e-01  2.21e-01  3.173e-03
    268356    44.00  3.3453e-07  4.1684e-06    0.0803      0.205  1.7644e-09  4.6973e-09   19.47   42.13  -0.0340  7.6647e-04  6.6368e-03  2.43e-01  2.32e-01  3.314e-03
    274455    45.00  3.4353e-07  3.9214e-06    0.0876     0.2031  1.7400e-09  4.3867e-09   19.87   42.28  -0.0317  7.9846e-04  6.4674e-03  2.54e-01  2.43e-01  3.440e-03
    280554    46.00  3.5144e-07  3.6897e-06    0.0953     0.2016  1.7130e-09  4.0952e-09   20.26   42.45  -0.0295  8.2866e-04  6.3049e-03  2.65e-01  2.55e-01  3.553e-03
    286653    47.00  3.5814e-07  3.4730e-06    0.1031     0.2006  1.6840e-09  3.8213e-09   20.62   42.63  -0.0276  8.5715e-04  6.1490e-03  2.77e-01  2.66e-01  3.652e-03
    292752    48.00  3.6347e-07  3.2707e-06    0.1111        0.2  1.6539e-09  3.5636e-09   20.97   42.84  -0.0260  8.8399e-04  5.9993e-03  2.89e-01  2.78e-01  3.739e-03
    298851    49.00  3.6728e-07  3.0826e-06    0.1191     0.1999  1.6230e-09  3.3209e-09   21.27   43.09  -0.0247  9.0926e-04  5.8556e-03  3.01e-01  2.91e-01  3.814e-03
    304950    50.00  3.6937e-07  2.9081e-06    0.1270     0.2003  1.5917e-09  3.0919e-09   21.54   43.37  -0.0236  9.3301e-04  5.7176e-03  3.14e-01  3.04e-01  3.877e-03

  initial total energy 2.5000e-03;  dmass +3.201e-08
  wrote 100 binary frames to /private/tmp/claude-501/-Users-alessandroderosis-Desktop-M3LB/56e432e9-a8bd-47c9-9499-eb0a7a144db3/scratchpad/camp/frames
