Decaying MHD turbulence in a confined disc -- Neffaa, Bos & Schneider (2008)   DEMONSTRATOR
backend Threads   precision FP64   D2Q9 fluid + D2Q5 magnetic   operator MhdCM

  Eq. (11) mixing: beta 0.349698 gives cos(theta) 0.473611 against Table I's 0.473611  (<u.w> = -0.0000)
  vector potential: max|curl a - b| / max|b| = 4.426e-15
  N 321   disc, half-width 152.5 (48% of the box)   73045 fluid nodes
  OPERATOR (dispatched) MhdCM   fluid forcing FieldGuo (penalisation ACTIVE)   magnetic source penalised B.n
  Re 1000   Pr_m 1.00   nu 0.01525 (tau 0.5457)   eta 0.01525 (omega_mag 1.8324)
  wall PENALISATION   eps 2.00 (fluid)  eps_m 2.00 (magnetic)  chi width 1.00 cells   no solid, no wall condition
  NEFFAA REGIME 3 (Table I)   spectrum E(k) ~ k/[0.98 + k/((3/4)sqrt(2)pi)]^4   r = (19/20)pi in a 2pi box
  u_rms 0.0500 (Ma 0.0866)   k^-3 spectrum   E_kin/E_mag 1.300   walls penalised, B.n = 0 (perfect conductor)   seed 99
  one turnover 2R/u0 = 6099 steps; running 304950 (50.0 turnovers)

      step    t/T_e       E_kin       E_mag   E_k/E_m        E/A   enstrophy       <j^2>     L_u     L_b      H_c       |<b>|      max|b|     dv/cl      bulk  Bn/B|wall
    152475    25.00  3.5444e-08  8.1747e-06    0.0043     0.2925  3.7888e-10  1.2940e-08   13.68   35.55  +0.1910  3.4565e-04  1.0236e-02  1.26e-01  1.23e-01  4.283e-03
    158574    26.00  3.3041e-08  7.5904e-06    0.0044     0.2814  3.6285e-10  1.1676e-08   13.50   36.06  +0.1694  2.7988e-04  9.7776e-03  1.19e-01  1.15e-01  3.791e-03
    164673    27.00  3.4259e-08  7.0685e-06    0.0048     0.2714  3.7346e-10  1.0587e-08   13.55   36.54  +0.1466  2.1891e-04  9.3572e-03  1.12e-01  1.08e-01  3.301e-03
    170772    28.00  3.8117e-08  6.5992e-06    0.0058     0.2623  4.0057e-10  9.6444e-09   13.80   36.99  +0.1259  1.6418e-04  8.9716e-03  1.07e-01  1.02e-01  2.820e-03
    176871    29.00  4.3838e-08  6.1743e-06    0.0071     0.2539  4.3696e-10  8.8251e-09   14.17   37.41  +0.1090  1.1946e-04  8.6176e-03  1.04e-01  9.80e-02  2.354e-03
    182970    30.00  5.0818e-08  5.7871e-06    0.0088     0.2461  4.7766e-10  8.1088e-09   14.59   37.78  +0.0962  9.3785e-05  8.2922e-03  1.03e-01  9.59e-02  1.907e-03
    189069    31.00  5.8588e-08  5.4321e-06    0.0108     0.2389  5.1929e-10  7.4784e-09   15.02   38.11  +0.0866  9.7807e-05  7.9925e-03  1.04e-01  9.59e-02  1.726e-03
    195168    32.00  6.6805e-08  5.1048e-06    0.0131     0.2321  5.5967e-10  6.9198e-09   15.45   38.41  +0.0795  1.2534e-04  7.7156e-03  1.07e-01  9.79e-02  1.710e-03
    201267    33.00  7.5218e-08  4.8015e-06    0.0157     0.2256  5.9747e-10  6.4211e-09   15.87   38.67  +0.0742  1.6262e-04  7.4589e-03  1.12e-01  1.02e-01  1.688e-03
    207366    34.00  8.3660e-08  4.5194e-06    0.0185     0.2194  6.3193e-10  5.9726e-09   16.27   38.90  +0.0700  2.0266e-04  7.2202e-03  1.18e-01  1.07e-01  1.660e-03
    213465    35.00  9.2019e-08  4.2558e-06    0.0216     0.2136  6.6270e-10  5.5662e-09   16.66   39.10  +0.0666  2.4283e-04  6.9971e-03  1.25e-01  1.14e-01  1.626e-03
    219564    36.00  1.0023e-07  4.0087e-06    0.0250     0.2079  6.8969e-10  5.1953e-09   17.05   39.28  +0.0637  2.8209e-04  6.7879e-03  1.33e-01  1.22e-01  1.716e-03
    225663    37.00  1.0825e-07  3.7767e-06    0.0287     0.2025  7.1297e-10  4.8547e-09   17.43   39.44  +0.0610  3.2001e-04  6.5909e-03  1.42e-01  1.30e-01  1.797e-03
    231762    38.00  1.1606e-07  3.5582e-06    0.0326     0.1972  7.3269e-10  4.5399e-09   17.80   39.59  +0.0585  3.5640e-04  6.4047e-03  1.51e-01  1.39e-01  1.866e-03
    237861    39.00  1.2365e-07  3.3523e-06    0.0369     0.1922  7.4907e-10  4.2475e-09   18.17   39.73  +0.0559  3.9121e-04  6.2282e-03  1.60e-01  1.49e-01  1.951e-03
    243960    40.00  1.3099e-07  3.1580e-06    0.0415     0.1873  7.6233e-10  3.9748e-09   18.54   39.86  +0.0532  4.2441e-04  6.0601e-03  1.70e-01  1.59e-01  2.042e-03
    250059    41.00  1.3806e-07  2.9747e-06    0.0464     0.1827  7.7266e-10  3.7193e-09   18.90   39.99  +0.0505  4.5604e-04  5.8998e-03  1.80e-01  1.69e-01  2.161e-03
    256158    42.00  1.4484e-07  2.8017e-06    0.0517     0.1782  7.8024e-10  3.4795e-09   19.27   40.13  +0.0477  4.8614e-04  5.7464e-03  1.91e-01  1.79e-01  2.358e-03
    262257    43.00  1.5128e-07  2.6386e-06    0.0573     0.1739  7.8524e-10  3.2538e-09   19.63   40.27  +0.0449  5.1473e-04  5.5994e-03  2.01e-01  1.90e-01  2.537e-03
    268356    44.00  1.5734e-07  2.4849e-06    0.0633     0.1698  7.8776e-10  3.0411e-09   19.99   40.43  +0.0421  5.4188e-04  5.4582e-03  2.12e-01  2.01e-01  2.700e-03
    274455    45.00  1.6294e-07  2.3402e-06    0.0696     0.1659  7.8791e-10  2.8404e-09   20.34   40.59  +0.0393  5.6764e-04  5.3225e-03  2.23e-01  2.12e-01  2.849e-03
    280554    46.00  1.6804e-07  2.2044e-06    0.0762     0.1623  7.8574e-10  2.6512e-09   20.68   40.78  +0.0366  5.9204e-04  5.1918e-03  2.35e-01  2.24e-01  2.983e-03
    286653    47.00  1.7256e-07  2.0770e-06    0.0831     0.1588  7.8133e-10  2.4727e-09   21.02   40.99  +0.0342  6.1515e-04  5.0658e-03  2.46e-01  2.35e-01  3.104e-03
    292752    48.00  1.7643e-07  1.9579e-06    0.0901     0.1557  7.7473e-10  2.3045e-09   21.34   41.22  +0.0320  6.3700e-04  4.9444e-03  2.58e-01  2.48e-01  3.213e-03
    298851    49.00  1.7959e-07  1.8467e-06    0.0972     0.1527  7.6601e-10  2.1462e-09   21.65   41.48  +0.0302  6.5765e-04  4.8272e-03  2.71e-01  2.60e-01  3.310e-03
    304950    50.00  1.8197e-07  1.7432e-06    0.1044       0.15  7.5524e-10  1.9974e-09   21.95   41.78  +0.0287  6.7713e-04  4.7141e-03  2.83e-01  2.73e-01  3.395e-03

  initial total energy 2.2115e-03;  dmass +2.120e-08
  wrote 100 binary frames to /private/tmp/claude-501/-Users-alessandroderosis-Desktop-M3LB/56e432e9-a8bd-47c9-9499-eb0a7a144db3/scratchpad/camp/frames
