Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 224   R 89.60 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.792000e-02   eta 1.792000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 4.67 / 4.67   smooth 2.33   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 3584 steps; running 7168 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000  0.0000 1.729e-05 3.170e-05   0.0402 1.61e-12 1.29e-01 4.01e-07  0.5061  0.913  0.00e+00
      28  0.008  9.586e-04  1.190e-03    0.806  0.0045 1.775e-05 3.176e-05   0.0439 2.79e-05 1.22e-01 3.11e-01  0.0638  0.729 -5.85e-09
      56  0.016  8.589e-04  1.181e-03    0.727  0.0077 1.783e-05 3.464e-05   0.0443 3.68e-05 1.33e-01 3.53e-01  0.0136  0.728 -5.87e-09
      84  0.023  8.002e-04  1.179e-03    0.679  0.0085 1.800e-05 3.901e-05   0.0430 4.03e-05 1.52e-01 3.38e-01  0.0059  0.727 -5.97e-09
     112  0.031  7.480e-04  1.178e-03    0.635  0.0091 1.809e-05 4.392e-05   0.0419 4.32e-05 1.69e-01 3.15e-01  0.0039  0.726 -5.95e-09
     140  0.039  7.064e-04  1.174e-03    0.602  0.0083 1.843e-05 4.893e-05   0.0408 4.56e-05 1.90e-01 2.93e-01  0.0029  0.725 -5.89e-09
     168  0.047  6.710e-04  1.166e-03    0.575  0.0053 1.912e-05 5.387e-05   0.0402 5.02e-05 2.11e-01 2.73e-01  0.0022  0.725 -5.94e-09
     196  0.055  6.391e-04  1.154e-03    0.554  0.0024 2.007e-05 5.859e-05   0.0392 5.58e-05 2.30e-01 2.56e-01  0.0019  0.725 -5.91e-09
     224  0.062  6.100e-04  1.137e-03    0.536  0.0033 2.117e-05 6.288e-05   0.0379 6.20e-05 2.45e-01 2.42e-01  0.0018  0.728 -5.98e-09
     252  0.070  5.834e-04  1.116e-03    0.523  0.0044 2.232e-05 6.671e-05   0.0361 6.86e-05 2.60e-01 2.31e-01  0.0017  0.731 -5.96e-09
     280  0.078  5.609e-04  1.092e-03    0.514  0.0050 2.339e-05 6.989e-05   0.0346 7.61e-05 2.72e-01 2.21e-01  0.0014  0.735 -5.89e-09
     308  0.086  5.404e-04  1.065e-03    0.508  0.0054 2.438e-05 7.232e-05   0.0327 8.43e-05 2.78e-01 2.13e-01  0.0012  0.741 -5.79e-09
     336  0.094  5.215e-04  1.035e-03    0.504  0.0054 2.519e-05 7.388e-05   0.0310 9.21e-05 2.86e-01 2.07e-01  0.0012  0.747 -6.01e-09
     364  0.102  5.031e-04  1.005e-03    0.501  0.0053 2.581e-05 7.470e-05   0.0296 1.01e-04 2.99e-01 2.02e-01  0.0011  0.753 -5.90e-09
     392  0.109  2.384e-01  6.249e+05    0.000  0.0074 2.470e-01 2.329e+06  -0.0035 1.77e-02 9.07e+05 4.77e-02  0.0037  0.003 -1.39e+16
     420  0.117        nan        nan    0.000  0.0000       nan       nan   0.0000      nan 3.35e+02 0.00e+00  0.0021  0.000       nan

  *** NON-FINITE at step 420 ***
