Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 128   R 51.20 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.024000e-02   eta 1.024000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 8.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2048 steps; running 4096 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 5.231e-05 9.607e-05   0.0400 1.58e-12 1.29e-01 2.30e-07  0.5064  0.913  0.00e+00
      16  0.008  9.583e-04  1.212e-03    0.791  0.0043 5.059e-05 9.717e-05   0.0448 3.36e-05 1.26e-01 5.15e-02  0.2801  0.772 -5.90e-09
      32  0.016  8.706e-04  1.204e-03    0.723  0.0073 4.969e-05 1.053e-04   0.0476 4.49e-05 1.33e-01 9.75e-02  0.1612  0.751 -5.97e-09
      48  0.023  8.111e-04  1.203e-03    0.674  0.0081 4.894e-05 1.166e-04   0.0486 5.07e-05 1.37e-01 1.29e-01  0.1075  0.749 -5.74e-09
      64  0.031  7.547e-04  1.203e-03    0.627  0.0089 4.836e-05 1.286e-04   0.0489 5.72e-05 1.47e-01 1.48e-01  0.0803  0.750 -5.55e-09
      80  0.039  7.095e-04  1.198e-03    0.592  0.0085 4.818e-05 1.406e-04   0.0484 6.45e-05 1.58e-01 1.58e-01  0.0643  0.752 -5.64e-09
      96  0.047  6.704e-04  1.189e-03    0.564  0.0056 4.866e-05 1.523e-04   0.0477 7.47e-05 1.67e-01 1.64e-01  0.0539  0.754 -5.81e-09
     112  0.055  6.336e-04  1.176e-03    0.539  0.0030 4.970e-05 1.633e-04   0.0466 8.48e-05 1.74e-01 1.66e-01  0.0467  0.757 -5.84e-09
     128  0.062  6.001e-04  1.157e-03    0.519  0.0054 5.106e-05 1.732e-04   0.0450 9.58e-05 1.78e-01 1.67e-01  0.0417  0.762 -5.66e-09
     144  0.070  5.702e-04  1.134e-03    0.503  0.0085 5.253e-05 1.815e-04   0.0430 1.07e-04 1.82e-01 1.67e-01  0.0377  0.767 -5.77e-09
     160  0.078  5.448e-04  1.107e-03    0.492  0.0106 5.394e-05 1.880e-04   0.0411 1.18e-04 1.82e-01 1.66e-01  0.0347  0.773 -5.77e-09
     176  0.086  5.219e-04  1.077e-03    0.484  0.0122 5.509e-05 1.922e-04   0.0388 1.28e-04 1.81e-01 1.66e-01  0.0321  0.780 -5.79e-09
     192  0.094  5.006e-04  1.046e-03    0.479  0.0131 5.590e-05 1.942e-04   0.0368 1.39e-04 1.80e-01 1.66e-01  0.0301  0.787 -5.38e-09
     208  0.102  4.798e-04  1.013e-03    0.474  0.0138 5.632e-05 1.941e-04   0.0350 1.50e-04 1.76e-01 1.66e-01  0.0285  0.793 -5.54e-09
     224  0.109  4.590e-04  9.795e-04    0.469  0.0143 5.632e-05 1.922e-04   0.0333 1.59e-04 1.79e-01 1.67e-01  0.0272  0.800 -5.64e-09
     240  0.117  4.395e-04  9.459e-04    0.465  0.0154 5.591e-05 1.886e-04   0.0318 1.67e-04 1.82e-01 1.68e-01  0.0261  0.807 -5.37e-09
     256  0.125  4.207e-04  9.127e-04    0.461  0.0172 5.514e-05 1.837e-04   0.0306 1.75e-04 1.83e-01 1.69e-01  0.0250  0.814 -5.42e-09
     272  0.133  4.034e-04  8.802e-04    0.458  0.0184 5.408e-05 1.779e-04   0.0297 1.84e-04 1.83e-01 1.71e-01  0.0240  0.821 -5.43e-09
