Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 192   R 76.80 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.536000e-02   eta 1.536000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 2.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 3072 steps; running 6144 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 2.349e-05 4.307e-05   0.0402 9.35e-13 1.29e-01 3.44e-07  0.5064  0.914  0.00e+00
      24  0.008  9.814e-04  1.206e-03    0.814  0.0050 2.410e-05 4.478e-05   0.0447 2.57e-05 1.25e-01 2.42e-01  0.0475  0.730 -5.82e-09
      48  0.016  9.135e-04  1.205e-03    0.758  0.0084 2.438e-05 5.051e-05   0.0455 3.31e-05 1.52e-01 2.97e-01  0.0222  0.735 -5.89e-09
      72  0.023  8.568e-04  1.209e-03    0.709  0.0089 2.441e-05 5.710e-05   0.0446 3.70e-05 1.72e-01 2.98e-01  0.0148  0.740 -5.90e-09
      96  0.031  8.013e-04  1.212e-03    0.661  0.0092 2.436e-05 6.350e-05   0.0441 4.32e-05 1.87e-01 2.87e-01  0.0113  0.745 -6.01e-09
     120  0.039  7.585e-04  1.210e-03    0.627  0.0084 2.468e-05 6.982e-05   0.0435 5.19e-05 2.10e-01 2.72e-01  0.0093  0.750 -6.03e-09
     144  0.047  7.210e-04  1.203e-03    0.599  0.0045 2.546e-05 7.604e-05   0.0430 6.48e-05 2.30e-01 2.58e-01  0.0079  0.755 -5.94e-09
     168  0.055  6.832e-04  1.192e-03    0.573  0.0007 2.653e-05 8.198e-05   0.0420 7.66e-05 2.45e-01 2.45e-01  0.0070  0.760 -6.00e-09
     192  0.062  6.498e-04  1.175e-03    0.553  0.0031 2.773e-05 8.733e-05   0.0407 8.90e-05 2.55e-01 2.33e-01  0.0064  0.767 -5.92e-09
     216  0.070  6.201e-04  1.153e-03    0.538  0.0064 2.903e-05 9.200e-05   0.0388 1.01e-04 2.64e-01 2.23e-01  0.0058  0.774 -6.14e-09
     240  0.078  5.954e-04  1.128e-03    0.528  0.0075 3.024e-05 9.579e-05   0.0373 1.14e-04 2.73e-01 2.15e-01  0.0054  0.781 -6.19e-09
     264  0.086  5.732e-04  1.099e-03    0.522  0.0073 3.130e-05 9.847e-05   0.0353 1.26e-04 2.79e-01 2.08e-01  0.0050  0.789 -6.05e-09
     288  0.094  5.520e-04  1.068e-03    0.517  0.0064 3.212e-05 1.000e-04   0.0337 1.38e-04 2.82e-01 2.03e-01  0.0048  0.797 -6.04e-09
     312  0.102  5.306e-04  1.036e-03    0.512  0.0058 3.272e-05 1.005e-04   0.0322 1.50e-04 2.79e-01 1.99e-01  0.0046  0.805 -5.84e-09
     336  0.109  5.089e-04  1.003e-03    0.507  0.0051 3.308e-05 1.001e-04   0.0306 1.60e-04 2.78e-01 1.96e-01  0.0044  0.812 -5.91e-09
     360  0.117  4.892e-04  9.699e-04    0.504  0.0053 3.322e-05 9.874e-05   0.0291 1.69e-04 2.81e-01 1.94e-01  0.0042  0.819 -5.79e-09
     384  0.125  4.703e-04  9.368e-04    0.502  0.0065 3.312e-05 9.673e-05   0.0278 1.79e-04 2.90e-01 1.93e-01  0.0040  0.826 -5.79e-09
     408  0.133  4.535e-04  9.050e-04    0.501  0.0075 3.320e-05 9.559e-05   0.0275 1.89e-04 5.80e-01 1.95e-01  0.0039  0.834 -5.99e-09
     432  0.141        nan        nan    0.000  0.0000       nan       nan   0.0000      nan 5.67e+05 0.00e+00  0.0097  0.000       nan

  *** NON-FINITE at step 432 ***
