Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 128   R 51.20 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.024000e-02   eta 1.024000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 2.00   smooth 2.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2048 steps; running 4096 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 5.231e-05 9.607e-05   0.0400 1.58e-12 1.29e-01 2.30e-07  0.5064  0.913  0.00e+00
      16  0.008  8.751e-04  1.156e-03    0.757  0.0059 4.932e-05 9.407e-05   0.0438 1.75e-05 1.21e-01 2.76e-01  0.0263  0.733 -5.66e-09
      32  0.016  7.709e-04  1.140e-03    0.676  0.0089 4.770e-05 9.958e-05   0.0446 2.22e-05 1.24e-01 3.20e-01  0.0033  0.733 -5.87e-09
      48  0.023  7.111e-04  1.132e-03    0.628  0.0098 4.709e-05 1.090e-04   0.0439 2.72e-05 1.33e-01 3.15e-01  0.0015  0.731 -5.92e-09
      64  0.031  6.618e-04  1.126e-03    0.588  0.0105 4.674e-05 1.204e-04   0.0432 3.06e-05 1.45e-01 3.00e-01  0.0013  0.729 -5.85e-09
      80  0.039  6.242e-04  1.118e-03    0.558  0.0094 4.707e-05 1.325e-04   0.0421 2.91e-05 1.57e-01 2.83e-01  0.0011  0.727 -5.98e-09
      96  0.047  5.926e-04  1.107e-03    0.535  0.0063 4.829e-05 1.446e-04   0.0412 2.44e-05 1.68e-01 2.67e-01  0.0009  0.725 -6.07e-09
     112  0.055  5.642e-04  1.093e-03    0.516  0.0046 5.018e-05 1.562e-04   0.0400 2.29e-05 1.80e-01 2.54e-01  0.0008  0.725 -6.37e-09
     128  0.062  5.385e-04  1.075e-03    0.501  0.0060 5.249e-05 1.668e-04   0.0384 2.32e-05 1.91e-01 2.42e-01  0.0008  0.726 -6.27e-09
     144  0.070  5.152e-04  1.054e-03    0.489  0.0070 5.490e-05 1.761e-04   0.0366 2.41e-05 2.01e-01 2.33e-01  0.0007  0.728 -6.07e-09
