Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 160   R 64.00 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.280000e-02   eta 1.280000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 3.33 / 3.33   smooth 1.67   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2560 steps; running 5120 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000  0.0000 3.370e-05 6.181e-05   0.0401 3.12e-12 1.29e-01 2.87e-07  0.5062  0.913  0.00e+00
      20  0.008  9.529e-04  1.187e-03    0.802  0.0045 3.319e-05 6.204e-05   0.0445 2.92e-05 1.22e-01 2.38e-01  0.0687  0.731 -5.84e-09
      40  0.016  8.538e-04  1.178e-03    0.725  0.0076 3.289e-05 6.705e-05   0.0460 3.81e-05 1.32e-01 3.04e-01  0.0178  0.730 -5.97e-09
      60  0.023  7.953e-04  1.176e-03    0.676  0.0085 3.288e-05 7.465e-05   0.0455 4.19e-05 1.49e-01 3.10e-01  0.0082  0.729 -5.86e-09
      80  0.031  7.435e-04  1.175e-03    0.633  0.0091 3.305e-05 8.337e-05   0.0447 4.50e-05 1.64e-01 2.98e-01  0.0052  0.728 -6.07e-09
     100  0.039  7.021e-04  1.171e-03    0.600  0.0083 3.363e-05 9.243e-05   0.0436 4.74e-05 1.85e-01 2.82e-01  0.0039  0.727 -5.95e-09
     120  0.047  6.669e-04  1.163e-03    0.573  0.0053 3.477e-05 1.014e-04   0.0428 5.17e-05 2.04e-01 2.67e-01  0.0030  0.727 -5.85e-09
     140  0.055  6.351e-04  1.151e-03    0.552  0.0026 3.636e-05 1.101e-04   0.0416 5.73e-05 2.20e-01 2.52e-01  0.0025  0.727 -5.91e-09
     160  0.062  6.061e-04  1.134e-03    0.535  0.0035 3.822e-05 1.179e-04   0.0402 6.36e-05 2.36e-01 2.40e-01  0.0023  0.730 -6.02e-09
     180  0.070  5.797e-04  1.112e-03    0.521  0.0046 4.019e-05 1.248e-04   0.0382 7.01e-05 2.53e-01 2.29e-01  0.0021  0.733 -6.22e-09
     200  0.078  5.572e-04  1.088e-03    0.512  0.0053 4.204e-05 1.306e-04   0.0366 7.75e-05 2.63e-01 2.20e-01  0.0018  0.737 -6.12e-09
     220  0.086  5.369e-04  1.061e-03    0.506  0.0058 4.372e-05 1.348e-04   0.0346 8.57e-05 2.70e-01 2.13e-01  0.0016  0.743 -6.15e-09
     240  0.094  5.180e-04  1.032e-03    0.502  0.0058 4.510e-05 1.375e-04   0.0328 9.34e-05 2.74e-01 2.08e-01  0.0015  0.749 -6.26e-09
     260  0.102  4.997e-04  1.001e-03    0.499  0.0058 4.614e-05 1.387e-04   0.0313 1.02e-04 2.75e-01 2.04e-01  0.0015  0.755 -6.31e-09
     280  0.109  4.813e-04  9.700e-04    0.496  0.0055 4.685e-05 1.385e-04   0.0299 1.10e-04 2.79e-01 2.01e-01  0.0014  0.761 -6.46e-09
     300  0.117  4.638e-04  9.385e-04    0.494  0.0058 4.725e-05 1.371e-04   0.0285 1.16e-04 2.84e-01 1.98e-01  0.0014  0.768 -6.46e-09
     320  0.125  4.466e-04  9.072e-04    0.492  0.0067 4.733e-05 1.347e-04   0.0274 1.23e-04 2.91e-01 1.97e-01  0.0013  0.774 -6.50e-09
     340  0.133  4.305e-04  8.765e-04    0.491  0.0072 4.711e-05 1.315e-04   0.0264 1.30e-04 2.93e-01 1.96e-01  0.0012  0.781 -6.64e-09
     360  0.141  4.150e-04  8.465e-04    0.490  0.0079 4.666e-05 1.279e-04   0.0257 1.38e-04 2.89e-01 1.96e-01  0.0012  0.788 -6.74e-09
     380  0.148  3.999e-04  8.174e-04    0.489  0.0089 4.601e-05 1.239e-04   0.0251 1.45e-04 3.02e-01 1.96e-01  0.0011  0.795 -6.71e-09
     400  0.156  3.852e-04  7.893e-04    0.488  0.0100 4.521e-05 1.198e-04   0.0246 1.52e-04 3.16e-01 1.97e-01  0.0011  0.801 -6.67e-09
     420  0.164  7.684e-04  8.506e-04    0.903  0.0071 4.289e-04 4.310e-04   0.0332 1.60e-04 5.01e+00 1.91e-01  0.0011  0.765 -6.68e-09
     440  0.172        nan        nan    0.000  0.0000       nan       nan   0.0000      nan 1.41e+05 0.00e+00  0.0115  0.000       nan

  *** NON-FINITE at step 440 ***
