Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 128   R 51.20 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.024000e-02   eta 1.024000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 0.50   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2048 steps; running 4096 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 5.231e-05 9.607e-05   0.0400 1.58e-12 1.29e-01 2.30e-07  0.5064  0.913  0.00e+00
      16  0.008  9.613e-04  1.177e-03    0.817  0.0046 5.081e-05 9.696e-05   0.0449 2.67e-05 1.23e-01 3.00e-01  0.0307  0.728 -5.77e-09
      32  0.016  8.800e-04  1.172e-03    0.751  0.0078 5.062e-05 1.061e-04   0.0463 3.42e-05 1.49e-01 3.35e-01  0.0129  0.727 -5.96e-09
      48  0.023  8.280e-04  1.173e-03    0.706  0.0085 5.140e-05 1.191e-04   0.0458 3.63e-05 1.74e-01 3.25e-01  0.0076  0.725 -5.76e-09
      64  0.031  7.795e-04  1.175e-03    0.663  0.0085 5.298e-05 1.335e-04   0.0451 3.85e-05 1.93e-01 3.07e-01  0.0050  0.723 -5.68e-09
      80  0.039  7.421e-04  1.173e-03    0.632  0.0070 5.525e-05 1.484e-04   0.0441 4.16e-05 2.18e-01 2.87e-01  0.0037  0.722 -5.85e-09
      96  0.047  7.106e-04  1.168e-03    0.609  0.0030 5.828e-05 1.633e-04   0.0434 4.77e-05 2.51e-01 2.70e-01  0.0029  0.721 -5.92e-09
     112  0.055  6.810e-04  1.158e-03    0.588 -0.0007 6.184e-05 1.777e-04   0.0423 5.46e-05 2.81e-01 2.54e-01  0.0024  0.721 -5.59e-09
     128  0.062  6.540e-04  1.143e-03    0.572 -0.0004 6.573e-05 1.910e-04   0.0409 6.15e-05 3.07e-01 2.41e-01  0.0021  0.723 -5.70e-09
     144  0.070  6.300e-04  1.125e-03    0.560 -0.0002 6.978e-05 2.031e-04   0.0390 6.81e-05 3.42e-01 2.30e-01  0.0018  0.726 -5.76e-09
     160  0.078  6.099e-04  1.103e-03    0.553 -0.0008 7.366e-05 2.134e-04   0.0374 7.58e-05 3.76e-01 2.21e-01  0.0016  0.730 -5.92e-09
     176  0.086  5.920e-04  1.078e-03    0.549 -0.0021 7.728e-05 2.216e-04   0.0354 8.37e-05 4.15e-01 2.13e-01  0.0014  0.735 -6.09e-09
     192  0.094  5.763e-04  1.053e-03    0.547 -0.0028 8.180e-05 2.338e-04   0.0389 9.15e-05 6.84e-01 2.11e-01  0.0014  0.740 -6.17e-09
     208  0.102        nan        nan    0.000  0.0000       nan       nan   0.0000      nan 3.64e+08 0.00e+00  0.0133  0.000      -nan

  *** NON-FINITE at step 208 ***
