Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 128   R 51.20 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.024000e-02   eta 1.024000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 2.00   smooth 2.67   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2048 steps; running 4096 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 5.231e-05 9.607e-05   0.0400 1.58e-12 1.29e-01 2.30e-07  0.5064  0.913  0.00e+00
      16  0.008  8.206e-04  1.133e-03    0.725  0.0071 4.631e-05 9.176e-05   0.0428 1.82e-05 1.19e-01 2.92e-01  0.0188  0.739 -6.03e-09
      32  0.016  7.080e-04  1.111e-03    0.637  0.0099 4.344e-05 9.569e-05   0.0430 3.13e-05 1.23e-01 3.18e-01  0.0018  0.741 -5.98e-09
      48  0.023  6.459e-04  1.098e-03    0.588  0.0111 4.217e-05 1.030e-04   0.0424 4.41e-05 1.28e-01 3.09e-01  0.0011  0.740 -5.96e-09
      64  0.031  5.986e-04  1.088e-03    0.550  0.0119 4.144e-05 1.123e-04   0.0418 5.29e-05 1.32e-01 2.94e-01  0.0011  0.739 -5.83e-09
      80  0.039  5.634e-04  1.077e-03    0.523  0.0108 4.151e-05 1.224e-04   0.0409 5.57e-05 1.37e-01 2.80e-01  0.0009  0.737 -5.73e-09
      96  0.047  5.342e-04  1.063e-03    0.503  0.0083 4.245e-05 1.326e-04   0.0400 5.31e-05 1.45e-01 2.66e-01  0.0007  0.737 -5.75e-09
     112  0.055  5.084e-04  1.047e-03    0.485  0.0075 4.400e-05 1.424e-04   0.0389 5.11e-05 1.55e-01 2.54e-01  0.0006  0.737 -5.78e-09
     128  0.062  4.850e-04  1.028e-03    0.472  0.0090 4.592e-05 1.514e-04   0.0373 4.90e-05 1.64e-01 2.44e-01  0.0006  0.738 -5.77e-09
     144  0.070  4.639e-04  1.007e-03    0.461  0.0097 4.793e-05 1.594e-04   0.0357 4.62e-05 1.70e-01 2.35e-01  0.0006  0.740 -5.73e-09
     160  0.078  4.459e-04  9.838e-04    0.453  0.0110 4.985e-05 1.659e-04   0.0343 4.43e-05 1.77e-01 2.28e-01  0.0005  0.744 -5.34e-09
     176  0.086  4.297e-04  9.588e-04    0.448  0.0116 5.157e-05 1.706e-04   0.0328 4.35e-05 1.84e-01 2.23e-01  0.0004  0.748 -5.52e-09
     192  0.094  4.146e-04  9.325e-04    0.445  0.0122 5.295e-05 1.734e-04   0.0317 4.25e-05 1.87e-01 2.19e-01  0.0004  0.754 -5.49e-09
     208  0.102  3.998e-04  9.057e-04    0.441  0.0128 5.396e-05 1.745e-04   0.0308 4.19e-05 1.85e-01 2.16e-01  0.0003  0.759 -5.34e-09
     224  0.109  3.851e-04  8.786e-04    0.438  0.0133 5.459e-05 1.738e-04   0.0301 4.17e-05 1.87e-01 2.14e-01  0.0004  0.765 -5.24e-09
     240  0.117  3.708e-04  8.515e-04    0.436  0.0146 5.483e-05 1.718e-04   0.0294 4.16e-05 1.87e-01 2.13e-01  0.0004  0.771 -5.14e-09
     256  0.125  3.570e-04  8.248e-04    0.433  0.0158 5.471e-05 1.687e-04   0.0287 4.14e-05 1.84e-01 2.13e-01  0.0004  0.778 -5.23e-09
     272  0.133  3.439e-04  7.988e-04    0.431  0.0170 5.428e-05 1.648e-04   0.0280 4.15e-05 1.85e-01 2.13e-01  0.0003  0.785 -4.89e-09
     288  0.141  3.313e-04  7.736e-04    0.428  0.0183 5.360e-05 1.604e-04   0.0273 4.23e-05 1.99e-01 2.13e-01  0.0003  0.791 -5.07e-09
     304  0.148  3.191e-04  7.492e-04    0.426  0.0196 5.270e-05 1.557e-04   0.0265 4.35e-05 2.11e-01 2.14e-01  0.0003  0.798 -5.40e-09
     320  0.156  3.072e-04  7.259e-04    0.423  0.0208 5.164e-05 1.510e-04   0.0257 4.50e-05 2.18e-01 2.15e-01  0.0003  0.805 -5.42e-09
     336  0.164  2.957e-04  7.034e-04    0.420  0.0219 5.047e-05 1.462e-04   0.0250 4.70e-05 2.26e-01 2.16e-01  0.0003  0.812 -5.61e-09
     352  0.172  2.846e-04  6.820e-04    0.417  0.0232 4.922e-05 1.415e-04   0.0244 4.94e-05 2.42e-01 2.17e-01  0.0003  0.818 -5.97e-09
     368  0.180  2.740e-04  6.616e-04    0.414  0.0243 4.793e-05 1.369e-04   0.0240 5.22e-05 2.53e-01 2.18e-01  0.0003  0.824 -6.00e-09
     384  0.188  2.637e-04  6.420e-04    0.411  0.0253 4.661e-05 1.325e-04   0.0237 5.52e-05 2.64e-01 2.19e-01  0.0003  0.830 -5.86e-09
     400  0.195  2.540e-04  6.233e-04    0.407  0.0264 4.528e-05 1.282e-04   0.0237 5.81e-05 2.66e-01 2.20e-01  0.0003  0.836 -6.03e-09
     416  0.203  2.446e-04  6.053e-04    0.404  0.0274 4.396e-05 1.240e-04   0.0238 6.11e-05 2.69e-01 2.21e-01  0.0003  0.842 -5.74e-09
     432  0.211  2.357e-04  5.880e-04    0.401  0.0283 4.266e-05 1.200e-04   0.0242 6.43e-05 2.86e-01 2.22e-01  0.0002  0.847 -5.76e-09
     448  0.219  2.272e-04  5.714e-04    0.398  0.0291 4.139e-05 1.161e-04   0.0247 6.79e-05 2.94e-01 2.23e-01  0.0002  0.853 -6.04e-09
     464  0.227  2.191e-04  5.554e-04    0.394  0.0299 4.014e-05 1.123e-04   0.0253 7.16e-05 3.03e-01 2.24e-01  0.0002  0.858 -6.08e-09
     480  0.234  2.113e-04  5.401e-04    0.391  0.0306 3.893e-05 1.087e-04   0.0260 7.54e-05 3.05e-01 2.25e-01  0.0002  0.864 -6.19e-09
     496  0.242  2.039e-04  5.253e-04    0.388  0.0313 3.776e-05 1.052e-04   0.0267 7.94e-05 3.03e-01 2.26e-01  0.0002  0.869 -6.59e-09
     512  0.250  1.969e-04  5.111e-04    0.385  0.0319 3.662e-05 1.018e-04   0.0274 8.36e-05 3.00e-01 2.27e-01  0.0002  0.874 -6.41e-09
     528  0.258  1.901e-04  4.974e-04    0.382  0.0324 3.552e-05 9.850e-05   0.0280 8.81e-05 3.12e-01 2.28e-01  0.0002  0.879 -6.08e-09
     544  0.266  1.837e-04  4.841e-04    0.379  0.0328 3.446e-05 9.531e-05   0.0285 9.26e-05 3.15e-01 2.29e-01  0.0002  0.884 -5.95e-09
     560  0.273  1.775e-04  4.713e-04    0.377  0.0332 3.343e-05 9.219e-05   0.0288 9.71e-05 3.15e-01 2.30e-01  0.0002  0.889 -5.84e-09
     576  0.281  1.716e-04  4.588e-04    0.374  0.0336 3.242e-05 8.915e-05   0.0290 1.02e-04 3.16e-01 2.31e-01  0.0002  0.894 -5.79e-09
     592  0.289  1.660e-04  4.468e-04    0.372  0.0339 3.145e-05 8.618e-05   0.0290 1.06e-04 3.09e-01 2.33e-01  0.0002  0.899 -6.05e-09
     608  0.297  1.607e-04  4.352e-04    0.369  0.0343 3.051e-05 8.334e-05   0.0287 1.11e-04 3.08e-01 2.34e-01  0.0002  0.904 -6.02e-09
