Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 224   R 89.60 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.792000e-02   eta 1.792000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 2.00   smooth 2.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 3584 steps; running 1024 (0.3 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000  0.0000 1.729e-05 3.170e-05   0.0402 1.61e-12 1.29e-01 4.01e-07  0.5061  0.913  0.00e+00
      32  0.009  9.107e-04  1.183e-03    0.770  0.0063 1.921e-05 3.238e-05   0.0430 1.77e-05 1.23e-01 4.01e-01  0.0050  0.725 -5.87e-09
      64  0.018  8.360e-04  1.178e-03    0.710  0.0091 1.981e-05 3.719e-05   0.0412 2.15e-05 1.44e-01 3.79e-01  0.0013  0.723 -5.81e-09
      96  0.027  7.716e-04  1.178e-03    0.655  0.0094 1.934e-05 4.302e-05   0.0394 2.36e-05 1.65e-01 3.42e-01  0.0010  0.720 -5.84e-09
     128  0.036  7.184e-04  1.177e-03    0.610  0.0092 1.916e-05 4.876e-05   0.0386 2.59e-05 1.86e-01 3.10e-01  0.0008  0.718 -5.85e-09
     160  0.045  6.774e-04  1.170e-03    0.579  0.0056 1.973e-05 5.432e-05   0.0383 3.24e-05 2.09e-01 2.85e-01  0.0006  0.718 -5.83e-09
     192  0.054  6.389e-04  1.157e-03    0.552  0.0010 2.072e-05 5.959e-05   0.0377 4.13e-05 2.26e-01 2.64e-01  0.0006  0.718 -5.84e-09
     224  0.062  6.036e-04  1.138e-03    0.530  0.0031 2.192e-05 6.433e-05   0.0363 4.99e-05 2.40e-01 2.48e-01  0.0005  0.721 -5.93e-09
     256  0.071  5.734e-04  1.114e-03    0.515  0.0057 2.317e-05 6.847e-05   0.0344 5.85e-05 2.56e-01 2.34e-01  0.0005  0.725 -5.76e-09
     288  0.080  5.487e-04  1.086e-03    0.505  0.0068 2.427e-05 7.173e-05   0.0327 6.91e-05 2.61e-01 2.23e-01  0.0003  0.731 -5.69e-09
     320  0.089  5.269e-04  1.054e-03    0.500  0.0063 2.524e-05 7.395e-05   0.0309 7.72e-05 2.69e-01 2.15e-01  0.0003  0.739 -5.93e-09
     352  0.098  5.054e-04  1.020e-03    0.496  0.0056 2.595e-05 7.508e-05   0.0296 8.75e-05 2.71e-01 2.09e-01  0.0003  0.746 -5.82e-09
     384  0.107  4.831e-04  9.843e-04    0.491  0.0049 2.645e-05 7.521e-05   0.0282 9.62e-05 2.70e-01 2.04e-01  0.0003  0.754 -5.74e-09
     416  0.116  4.625e-04  9.484e-04    0.488  0.0054 2.677e-05 7.469e-05   0.0269 1.03e-04 3.16e-01 2.01e-01  0.0003  0.762 -5.95e-09
     448  0.125        nan        nan    0.000  0.0000       nan       nan   0.0000      nan 2.54e+09 0.00e+00  0.0048  0.000       nan

  *** NON-FINITE at step 448 ***
