Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 192   R 76.80 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.536000e-02   eta 1.536000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 4.00 / 4.00   smooth 2.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 3072 steps; running 6144 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 2.349e-05 4.307e-05   0.0402 9.35e-13 1.29e-01 3.44e-07  0.5064  0.914  0.00e+00
      24  0.008  9.567e-04  1.189e-03    0.804  0.0045 2.367e-05 4.318e-05   0.0442 2.84e-05 1.22e-01 2.82e-01  0.0660  0.730 -5.81e-09
      48  0.016  8.573e-04  1.180e-03    0.726  0.0077 2.365e-05 4.689e-05   0.0450 3.73e-05 1.33e-01 3.36e-01  0.0153  0.729 -5.59e-09
      72  0.023  7.986e-04  1.178e-03    0.678  0.0085 2.380e-05 5.254e-05   0.0440 4.11e-05 1.51e-01 3.29e-01  0.0068  0.728 -5.78e-09
      96  0.031  7.465e-04  1.177e-03    0.634  0.0091 2.395e-05 5.897e-05   0.0430 4.42e-05 1.70e-01 3.10e-01  0.0044  0.726 -5.75e-09
     120  0.039  7.050e-04  1.173e-03    0.601  0.0083 2.440e-05 6.560e-05   0.0420 4.66e-05 1.87e-01 2.90e-01  0.0033  0.725 -5.70e-09
     144  0.047  6.697e-04  1.165e-03    0.575  0.0053 2.529e-05 7.215e-05   0.0412 5.10e-05 2.07e-01 2.72e-01  0.0025  0.725 -5.82e-09
     168  0.055  6.378e-04  1.153e-03    0.553  0.0025 2.652e-05 7.842e-05   0.0402 5.65e-05 2.24e-01 2.56e-01  0.0021  0.726 -5.77e-09
     192  0.062  6.087e-04  1.136e-03    0.536  0.0034 2.795e-05 8.414e-05   0.0388 6.27e-05 2.37e-01 2.42e-01  0.0020  0.728 -5.66e-09
     216  0.070  5.822e-04  1.115e-03    0.522  0.0045 2.945e-05 8.921e-05   0.0369 6.93e-05 2.55e-01 2.31e-01  0.0018  0.732 -5.78e-09
     240  0.078  5.597e-04  1.091e-03    0.513  0.0051 3.085e-05 9.342e-05   0.0353 7.68e-05 2.68e-01 2.21e-01  0.0016  0.736 -5.81e-09
     264  0.086  5.392e-04  1.063e-03    0.507  0.0056 3.213e-05 9.660e-05   0.0334 8.50e-05 2.77e-01 2.14e-01  0.0014  0.742 -5.69e-09
     288  0.094  5.204e-04  1.034e-03    0.503  0.0055 3.318e-05 9.863e-05   0.0317 9.28e-05 2.83e-01 2.08e-01  0.0013  0.748 -5.71e-09
     312  0.102  5.020e-04  1.003e-03    0.500  0.0055 3.397e-05 9.959e-05   0.0303 1.01e-04 2.86e-01 2.03e-01  0.0012  0.754 -5.84e-09
     336  0.109  4.836e-04  9.722e-04    0.497  0.0051 3.453e-05 9.955e-05   0.0288 1.09e-04 2.87e-01 2.00e-01  0.0012  0.760 -5.69e-09
     360  0.117  4.661e-04  9.406e-04    0.496  0.0054 3.486e-05 9.867e-05   0.0275 1.16e-04 2.99e-01 1.97e-01  0.0012  0.767 -5.70e-09
     384  0.125  6.926e-03  1.421e-03    4.873 -0.0320 3.581e-03 1.708e-03   0.0771 1.23e-04 1.19e+01 2.14e-01  0.0012  0.619 -5.41e-09
     408  0.133        nan        nan    0.000  0.0000       nan       nan   0.0000      nan 6.09e+03 0.00e+00  0.0043  0.000      -nan

  *** NON-FINITE at step 408 ***
