Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 128   R 51.20 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.024000e-02   eta 1.024000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 4.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2048 steps; running 4096 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 5.231e-05 9.607e-05   0.0400 1.58e-12 1.29e-01 2.30e-07  0.5064  0.913  0.00e+00
    2160  1.055  2.208e-05  7.623e-05    0.290  0.0220 2.089e-06 5.869e-06  -0.1054 7.16e-04 5.86e-02 3.71e-01  0.0029  1.083 -3.42e-09
    2176  1.062  2.176e-05  7.529e-05    0.289  0.0218 2.049e-06 5.759e-06  -0.1058 7.19e-04 5.80e-02 3.73e-01  0.0029  1.084 -3.24e-09
    2192  1.070  2.144e-05  7.437e-05    0.288  0.0215 2.010e-06 5.653e-06  -0.1062 7.22e-04 5.75e-02 3.74e-01  0.0028  1.085 -3.50e-09
    2208  1.078  2.113e-05  7.347e-05    0.288  0.0213 1.973e-06 5.548e-06  -0.1066 7.24e-04 5.69e-02 3.75e-01  0.0028  1.086 -3.30e-09
    2224  1.086  2.082e-05  7.259e-05    0.287  0.0211 1.936e-06 5.446e-06  -0.1070 7.27e-04 5.64e-02 3.76e-01  0.0028  1.087 -3.35e-09
    2240  1.094  2.052e-05  7.172e-05    0.286  0.0209 1.899e-06 5.347e-06  -0.1073 7.29e-04 5.59e-02 3.77e-01  0.0028  1.088 -3.08e-09
    2256  1.102  2.023e-05  7.086e-05    0.286  0.0207 1.864e-06 5.250e-06  -0.1077 7.32e-04 5.53e-02 3.78e-01  0.0028  1.088 -2.66e-09
    2272  1.109  1.995e-05  7.002e-05    0.285  0.0205 1.830e-06 5.155e-06  -0.1080 7.35e-04 5.48e-02 3.79e-01  0.0028  1.089 -2.72e-09
    2288  1.117  1.967e-05  6.919e-05    0.284  0.0204 1.796e-06 5.062e-06  -0.1083 7.37e-04 5.43e-02 3.80e-01  0.0028  1.090 -2.57e-09
    2304  1.125  1.939e-05  6.838e-05    0.284  0.0203 1.763e-06 4.971e-06  -0.1086 7.39e-04 5.37e-02 3.82e-01  0.0028  1.091 -2.57e-09
    2320  1.133  1.912e-05  6.758e-05    0.283  0.0201 1.731e-06 4.882e-06  -0.1089 7.42e-04 5.32e-02 3.83e-01  0.0028  1.092 -2.33e-09
    2336  1.141  1.886e-05  6.680e-05    0.282  0.0200 1.700e-06 4.796e-06  -0.1092 7.44e-04 5.27e-02 3.84e-01  0.0027  1.092 -2.25e-09
    2352  1.148  1.860e-05  6.603e-05    0.282  0.0199 1.669e-06 4.711e-06  -0.1095 7.47e-04 5.22e-02 3.85e-01  0.0027  1.093 -2.27e-09
    2368  1.156  1.835e-05  6.527e-05    0.281  0.0198 1.639e-06 4.628e-06  -0.1098 7.49e-04 5.17e-02 3.86e-01  0.0027  1.094 -2.12e-09
    2384  1.164  1.810e-05  6.453e-05    0.281  0.0198 1.610e-06 4.547e-06  -0.1101 7.51e-04 5.14e-02 3.87e-01  0.0027  1.095 -1.91e-09
    2400  1.172  1.786e-05  6.380e-05    0.280  0.0197 1.582e-06 4.468e-06  -0.1103 7.54e-04 5.11e-02 3.88e-01  0.0027  1.095 -1.61e-09
    2416  1.180  1.762e-05  6.308e-05    0.279  0.0196 1.554e-06 4.391e-06  -0.1106 7.56e-04 5.08e-02 3.89e-01  0.0027  1.096 -1.34e-09
    2432  1.188  1.739e-05  6.237e-05    0.279  0.0196 1.526e-06 4.315e-06  -0.1109 7.58e-04 5.05e-02 3.90e-01  0.0026  1.097 -1.16e-09
    2448  1.195  1.716e-05  6.167e-05    0.278  0.0196 1.500e-06 4.241e-06  -0.1111 7.61e-04 5.02e-02 3.91e-01  0.0026  1.098 -7.79e-10
    2464  1.203  1.693e-05  6.099e-05    0.278  0.0195 1.473e-06 4.169e-06  -0.1114 7.63e-04 4.98e-02 3.92e-01  0.0026  1.098 -6.79e-10
    2480  1.211  1.671e-05  6.032e-05    0.277  0.0195 1.448e-06 4.098e-06  -0.1116 7.65e-04 4.95e-02 3.93e-01  0.0026  1.099 -5.26e-10
    2496  1.219  1.649e-05  5.966e-05    0.276  0.0195 1.423e-06 4.029e-06  -0.1118 7.67e-04 4.91e-02 3.94e-01  0.0026  1.100 -7.03e-10
    2512  1.227  1.628e-05  5.901e-05    0.276  0.0195 1.398e-06 3.962e-06  -0.1121 7.70e-04 4.88e-02 3.95e-01  0.0026  1.101 -9.29e-10
    2528  1.234  1.607e-05  5.837e-05    0.275  0.0195 1.374e-06 3.896e-06  -0.1123 7.72e-04 4.84e-02 3.96e-01  0.0026  1.101 -8.69e-10
    2544  1.242  1.586e-05  5.774e-05    0.275  0.0195 1.351e-06 3.831e-06  -0.1126 7.74e-04 4.80e-02 3.98e-01  0.0026  1.102 -5.19e-10
    2560  1.250  1.566e-05  5.712e-05    0.274  0.0195 1.328e-06 3.768e-06  -0.1128 7.76e-04 4.76e-02 3.99e-01  0.0025  1.103 -3.74e-10
    2576  1.258  1.546e-05  5.651e-05    0.274  0.0196 1.305e-06 3.706e-06  -0.1130 7.78e-04 4.72e-02 4.00e-01  0.0025  1.103 -6.51e-11
    2592  1.266  1.527e-05  5.591e-05    0.273  0.0196 1.283e-06 3.645e-06  -0.1133 7.80e-04 4.68e-02 4.01e-01  0.0025  1.104 -1.15e-10
    2608  1.273  1.507e-05  5.532e-05    0.272  0.0196 1.262e-06 3.586e-06  -0.1135 7.82e-04 4.65e-02 4.02e-01  0.0025  1.105 -1.34e-11
    2624  1.281  1.489e-05  5.474e-05    0.272  0.0196 1.240e-06 3.528e-06  -0.1137 7.84e-04 4.61e-02 4.02e-01  0.0025  1.105  4.63e-10
    2640  1.289  1.470e-05  5.417e-05    0.271  0.0197 1.220e-06 3.472e-06  -0.1140 7.87e-04 4.58e-02 4.03e-01  0.0025  1.106  5.83e-10
    2656  1.297  1.452e-05  5.361e-05    0.271  0.0197 1.199e-06 3.416e-06  -0.1142 7.89e-04 4.54e-02 4.04e-01  0.0025  1.107  9.38e-10
    2672  1.305  1.434e-05  5.306e-05    0.270  0.0198 1.180e-06 3.362e-06  -0.1145 7.91e-04 4.51e-02 4.05e-01  0.0025  1.107  9.79e-10
    2688  1.312  1.416e-05  5.252e-05    0.270  0.0198 1.160e-06 3.309e-06  -0.1147 7.93e-04 4.47e-02 4.06e-01  0.0025  1.108  1.42e-09
    2704  1.320  1.399e-05  5.198e-05    0.269  0.0198 1.141e-06 3.257e-06  -0.1150 7.95e-04 4.44e-02 4.07e-01  0.0025  1.109  1.53e-09
    2720  1.328  1.382e-05  5.146e-05    0.269  0.0199 1.122e-06 3.206e-06  -0.1152 7.97e-04 4.40e-02 4.08e-01  0.0025  1.109  1.75e-09
    2736  1.336  1.365e-05  5.094e-05    0.268  0.0199 1.104e-06 3.156e-06  -0.1154 7.99e-04 4.36e-02 4.09e-01  0.0025  1.110  1.98e-09
    2752  1.344  1.349e-05  5.043e-05    0.267  0.0200 1.086e-06 3.107e-06  -0.1157 8.00e-04 4.33e-02 4.10e-01  0.0025  1.110  2.20e-09
    2768  1.352  1.332e-05  4.993e-05    0.267  0.0200 1.068e-06 3.060e-06  -0.1159 8.02e-04 4.29e-02 4.11e-01  0.0025  1.111  2.28e-09
    2784  1.359  1.316e-05  4.943e-05    0.266  0.0201 1.051e-06 3.013e-06  -0.1162 8.04e-04 4.25e-02 4.12e-01  0.0025  1.112  2.50e-09
    2800  1.367  1.301e-05  4.895e-05    0.266  0.0201 1.034e-06 2.967e-06  -0.1165 8.06e-04 4.21e-02 4.13e-01  0.0025  1.112  2.93e-09
    2816  1.375  1.285e-05  4.847e-05    0.265  0.0201 1.017e-06 2.922e-06  -0.1167 8.08e-04 4.17e-02 4.14e-01  0.0025  1.113  3.09e-09
    2832  1.383  1.270e-05  4.799e-05    0.265  0.0202 1.001e-06 2.878e-06  -0.1170 8.10e-04 4.14e-02 4.14e-01  0.0025  1.113  3.41e-09
    2848  1.391  1.255e-05  4.753e-05    0.264  0.0202 9.850e-07 2.835e-06  -0.1173 8.12e-04 4.10e-02 4.15e-01  0.0025  1.114  3.48e-09
    2864  1.398  1.240e-05  4.707e-05    0.263  0.0203 9.693e-07 2.793e-06  -0.1175 8.14e-04 4.06e-02 4.16e-01  0.0025  1.115  3.67e-09
    2880  1.406  1.226e-05  4.662e-05    0.263  0.0203 9.539e-07 2.752e-06  -0.1178 8.16e-04 4.02e-02 4.17e-01  0.0025  1.115  4.12e-09
    2896  1.414  1.211e-05  4.618e-05    0.262  0.0203 9.388e-07 2.711e-06  -0.1181 8.17e-04 3.99e-02 4.18e-01  0.0025  1.116  4.45e-09
    2912  1.422  1.197e-05  4.574e-05    0.262  0.0204 9.240e-07 2.671e-06  -0.1184 8.19e-04 3.96e-02 4.19e-01  0.0025  1.116  4.90e-09
    2928  1.430  1.183e-05  4.531e-05    0.261  0.0204 9.095e-07 2.632e-06  -0.1186 8.21e-04 3.93e-02 4.20e-01  0.0025  1.117  5.29e-09
    2944  1.438  1.170e-05  4.488e-05    0.261  0.0204 8.952e-07 2.594e-06  -0.1189 8.23e-04 3.90e-02 4.20e-01  0.0025  1.117  5.57e-09
    2960  1.445  1.156e-05  4.447e-05    0.260  0.0204 8.812e-07 2.557e-06  -0.1192 8.24e-04 3.87e-02 4.21e-01  0.0025  1.118  5.83e-09
    2976  1.453  1.143e-05  4.405e-05    0.259  0.0204 8.675e-07 2.520e-06  -0.1195 8.26e-04 3.85e-02 4.22e-01  0.0025  1.118  6.01e-09
    2992  1.461  1.130e-05  4.365e-05    0.259  0.0205 8.540e-07 2.484e-06  -0.1198 8.28e-04 3.82e-02 4.23e-01  0.0024  1.119  6.58e-09
    3008  1.469  1.117e-05  4.325e-05    0.258  0.0205 8.408e-07 2.449e-06  -0.1201 8.30e-04 3.79e-02 4.24e-01  0.0024  1.119  7.20e-09
    3024  1.477  1.104e-05  4.285e-05    0.258  0.0205 8.278e-07 2.415e-06  -0.1204 8.31e-04 3.76e-02 4.24e-01  0.0024  1.120  7.64e-09
    3040  1.484  1.092e-05  4.246e-05    0.257  0.0205 8.151e-07 2.381e-06  -0.1207 8.33e-04 3.73e-02 4.25e-01  0.0024  1.120  8.01e-09
    3056  1.492  1.080e-05  4.208e-05    0.257  0.0205 8.026e-07 2.348e-06  -0.1210 8.35e-04 3.70e-02 4.26e-01  0.0024  1.121  8.20e-09
    3072  1.500  1.067e-05  4.170e-05    0.256  0.0205 7.904e-07 2.315e-06  -0.1213 8.37e-04 3.67e-02 4.27e-01  0.0024  1.122  8.34e-09
    3088  1.508  1.056e-05  4.133e-05    0.255  0.0204 7.783e-07 2.283e-06  -0.1216 8.38e-04 3.64e-02 4.27e-01  0.0024  1.122  8.52e-09
    3104  1.516  1.044e-05  4.096e-05    0.255  0.0204 7.665e-07 2.252e-06  -0.1219 8.40e-04 3.61e-02 4.28e-01  0.0024  1.123  9.00e-09
    3120  1.523  1.032e-05  4.060e-05    0.254  0.0204 7.549e-07 2.221e-06  -0.1222 8.41e-04 3.58e-02 4.29e-01  0.0024  1.123  9.45e-09
    3136  1.531  1.021e-05  4.024e-05    0.254  0.0204 7.435e-07 2.191e-06  -0.1225 8.43e-04 3.56e-02 4.30e-01  0.0024  1.124  9.93e-09
    3152  1.539  1.010e-05  3.989e-05    0.253  0.0203 7.323e-07 2.161e-06  -0.1229 8.45e-04 3.54e-02 4.30e-01  0.0024  1.124  1.07e-08
    3168  1.547  9.985e-06  3.954e-05    0.253  0.0203 7.214e-07 2.132e-06  -0.1232 8.46e-04 3.52e-02 4.31e-01  0.0024  1.125  1.10e-08
    3184  1.555  9.876e-06  3.920e-05    0.252  0.0203 7.106e-07 2.103e-06  -0.1235 8.48e-04 3.50e-02 4.32e-01  0.0023  1.125  1.18e-08
    3200  1.562  9.768e-06  3.886e-05    0.251  0.0202 7.000e-07 2.075e-06  -0.1238 8.50e-04 3.48e-02 4.32e-01  0.0023  1.125  1.21e-08
    3216  1.570  9.663e-06  3.853e-05    0.251  0.0202 6.896e-07 2.048e-06  -0.1242 8.51e-04 3.46e-02 4.33e-01  0.0023  1.126  1.25e-08
    3232  1.578  9.558e-06  3.820e-05    0.250  0.0201 6.794e-07 2.021e-06  -0.1245 8.53e-04 3.44e-02 4.34e-01  0.0023  1.126  1.30e-08
    3248  1.586  9.455e-06  3.787e-05    0.250  0.0201 6.694e-07 1.994e-06  -0.1248 8.54e-04 3.42e-02 4.34e-01  0.0023  1.127  1.36e-08
    3264  1.594  9.354e-06  3.755e-05    0.249  0.0200 6.596e-07 1.968e-06  -0.1251 8.56e-04 3.40e-02 4.35e-01  0.0023  1.127  1.42e-08
    3280  1.602  9.254e-06  3.723e-05    0.249  0.0199 6.499e-07 1.942e-06  -0.1255 8.57e-04 3.38e-02 4.36e-01  0.0023  1.128  1.52e-08
    3296  1.609  9.156e-06  3.692e-05    0.248  0.0199 6.404e-07 1.917e-06  -0.1258 8.59e-04 3.36e-02 4.36e-01  0.0023  1.128  1.57e-08
    3312  1.617  9.058e-06  3.662e-05    0.247  0.0198 6.311e-07 1.893e-06  -0.1262 8.60e-04 3.34e-02 4.37e-01  0.0023  1.129  1.63e-08
    3328  1.625  8.963e-06  3.631e-05    0.247  0.0197 6.220e-07 1.868e-06  -0.1265 8.62e-04 3.32e-02 4.38e-01  0.0023  1.129  1.69e-08
    3344  1.633  8.869e-06  3.601e-05    0.246  0.0196 6.130e-07 1.845e-06  -0.1268 8.64e-04 3.30e-02 4.38e-01  0.0022  1.130  1.77e-08
    3360  1.641  8.776e-06  3.572e-05    0.246  0.0195 6.042e-07 1.821e-06  -0.1272 8.65e-04 3.28e-02 4.39e-01  0.0022  1.130  1.85e-08
    3376  1.648  8.684e-06  3.542e-05    0.245  0.0194 5.955e-07 1.798e-06  -0.1275 8.67e-04 3.26e-02 4.40e-01  0.0022  1.131  1.90e-08
    3392  1.656  8.594e-06  3.514e-05    0.245  0.0193 5.870e-07 1.776e-06  -0.1279 8.68e-04 3.24e-02 4.40e-01  0.0022  1.131  1.95e-08
    3408  1.664  8.505e-06  3.485e-05    0.244  0.0192 5.786e-07 1.753e-06  -0.1282 8.69e-04 3.23e-02 4.41e-01  0.0022  1.132  2.03e-08
    3424  1.672  8.417e-06  3.457e-05    0.243  0.0191 5.704e-07 1.732e-06  -0.1285 8.71e-04 3.21e-02 4.41e-01  0.0022  1.132  2.11e-08
    3440  1.680  8.330e-06  3.429e-05    0.243  0.0190 5.624e-07 1.710e-06  -0.1289 8.72e-04 3.19e-02 4.42e-01  0.0022  1.133  2.20e-08
    3456  1.688  8.245e-06  3.402e-05    0.242  0.0189 5.544e-07 1.689e-06  -0.1292 8.74e-04 3.18e-02 4.43e-01  0.0022  1.133  2.26e-08
    3472  1.695  8.161e-06  3.375e-05    0.242  0.0187 5.466e-07 1.668e-06  -0.1296 8.75e-04 3.16e-02 4.43e-01  0.0022  1.134  2.36e-08
    3488  1.703  8.078e-06  3.348e-05    0.241  0.0186 5.390e-07 1.648e-06  -0.1299 8.77e-04 3.14e-02 4.44e-01  0.0022  1.134  2.42e-08
    3504  1.711  7.996e-06  3.322e-05    0.241  0.0185 5.315e-07 1.628e-06  -0.1303 8.78e-04 3.13e-02 4.44e-01  0.0021  1.134  2.53e-08
    3520  1.719  7.916e-06  3.296e-05    0.240  0.0183 5.241e-07 1.608e-06  -0.1306 8.80e-04 3.11e-02 4.45e-01  0.0021  1.135  2.63e-08
    3536  1.727  7.836e-06  3.270e-05    0.240  0.0182 5.168e-07 1.589e-06  -0.1310 8.81e-04 3.09e-02 4.46e-01  0.0021  1.135  2.71e-08
    3552  1.734  7.758e-06  3.244e-05    0.239  0.0181 5.097e-07 1.570e-06  -0.1313 8.82e-04 3.07e-02 4.46e-01  0.0021  1.136  2.87e-08
    3568  1.742  7.681e-06  3.219e-05    0.239  0.0179 5.027e-07 1.551e-06  -0.1317 8.84e-04 3.06e-02 4.47e-01  0.0021  1.136  2.98e-08
    3584  1.750  7.604e-06  3.194e-05    0.238  0.0178 4.958e-07 1.533e-06  -0.1320 8.85e-04 3.04e-02 4.47e-01  0.0021  1.137  3.06e-08
    3600  1.758  7.529e-06  3.170e-05    0.238  0.0176 4.890e-07 1.514e-06  -0.1323 8.87e-04 3.02e-02 4.48e-01  0.0021  1.137  3.18e-08
    3616  1.766  7.455e-06  3.146e-05    0.237  0.0174 4.824e-07 1.497e-06  -0.1327 8.88e-04 3.01e-02 4.48e-01  0.0021  1.138  3.29e-08
    3632  1.773  7.382e-06  3.122e-05    0.236  0.0173 4.759e-07 1.479e-06  -0.1330 8.89e-04 2.99e-02 4.49e-01  0.0021  1.138  3.39e-08
    3648  1.781  7.310e-06  3.098e-05    0.236  0.0171 4.694e-07 1.462e-06  -0.1334 8.91e-04 2.97e-02 4.49e-01  0.0021  1.139  3.50e-08
    3664  1.789  7.239e-06  3.075e-05    0.235  0.0169 4.631e-07 1.445e-06  -0.1337 8.92e-04 2.96e-02 4.50e-01  0.0020  1.139  3.64e-08
    3680  1.797  7.169e-06  3.052e-05    0.235  0.0168 4.569e-07 1.428e-06  -0.1341 8.93e-04 2.94e-02 4.50e-01  0.0020  1.140  3.77e-08
    3696  1.805  7.100e-06  3.029e-05    0.234  0.0166 4.508e-07 1.412e-06  -0.1344 8.95e-04 2.92e-02 4.51e-01  0.0020  1.140  3.88e-08
    3712  1.812  7.031e-06  3.006e-05    0.234  0.0164 4.448e-07 1.396e-06  -0.1348 8.96e-04 2.91e-02 4.51e-01  0.0020  1.140  4.04e-08
    3728  1.820  6.964e-06  2.984e-05    0.233  0.0162 4.389e-07 1.380e-06  -0.1351 8.97e-04 2.89e-02 4.52e-01  0.0020  1.141  4.16e-08
    3744  1.828  6.898e-06  2.962e-05    0.233  0.0161 4.331e-07 1.364e-06  -0.1355 8.99e-04 2.87e-02 4.52e-01  0.0020  1.141  4.32e-08
    3760  1.836  6.832e-06  2.940e-05    0.232  0.0159 4.274e-07 1.349e-06  -0.1358 9.00e-04 2.86e-02 4.53e-01  0.0020  1.142  4.41e-08
    3776  1.844  6.767e-06  2.919e-05    0.232  0.0157 4.218e-07 1.333e-06  -0.1361 9.01e-04 2.84e-02 4.53e-01  0.0020  1.142  4.54e-08
    3792  1.852  6.704e-06  2.897e-05    0.231  0.0155 4.163e-07 1.318e-06  -0.1365 9.03e-04 2.82e-02 4.54e-01  0.0020  1.143  4.66e-08
    3808  1.859  6.641e-06  2.876e-05    0.231  0.0153 4.109e-07 1.304e-06  -0.1368 9.04e-04 2.81e-02 4.54e-01  0.0020  1.143  4.80e-08
    3824  1.867  6.579e-06  2.856e-05    0.230  0.0151 4.056e-07 1.289e-06  -0.1372 9.05e-04 2.79e-02 4.55e-01  0.0020  1.144  4.94e-08
    3840  1.875  6.517e-06  2.835e-05    0.230  0.0149 4.004e-07 1.275e-06  -0.1375 9.06e-04 2.78e-02 4.55e-01  0.0019  1.144  5.07e-08
    3856  1.883  6.457e-06  2.815e-05    0.229  0.0147 3.952e-07 1.261e-06  -0.1378 9.08e-04 2.76e-02 4.55e-01  0.0019  1.145  5.22e-08
    3872  1.891  6.397e-06  2.795e-05    0.229  0.0145 3.902e-07 1.247e-06  -0.1382 9.09e-04 2.74e-02 4.56e-01  0.0019  1.145  5.35e-08
    3888  1.898  6.339e-06  2.775e-05    0.228  0.0143 3.852e-07 1.234e-06  -0.1385 9.10e-04 2.73e-02 4.56e-01  0.0019  1.145  5.48e-08
    3904  1.906  6.280e-06  2.755e-05    0.228  0.0141 3.803e-07 1.220e-06  -0.1389 9.11e-04 2.71e-02 4.57e-01  0.0019  1.146  5.62e-08
    3920  1.914  6.223e-06  2.736e-05    0.227  0.0139 3.755e-07 1.207e-06  -0.1392 9.13e-04 2.70e-02 4.57e-01  0.0019  1.146  5.75e-08
    3936  1.922  6.167e-06  2.716e-05    0.227  0.0136 3.708e-07 1.194e-06  -0.1395 9.14e-04 2.69e-02 4.58e-01  0.0019  1.147  5.87e-08
    3952  1.930  6.111e-06  2.697e-05    0.227  0.0134 3.661e-07 1.181e-06  -0.1398 9.15e-04 2.67e-02 4.58e-01  0.0019  1.147  6.03e-08
    3968  1.938  6.056e-06  2.678e-05    0.226  0.0132 3.615e-07 1.169e-06  -0.1402 9.16e-04 2.66e-02 4.58e-01  0.0019  1.148  6.22e-08
    3984  1.945  6.001e-06  2.660e-05    0.226  0.0130 3.570e-07 1.156e-06  -0.1405 9.18e-04 2.64e-02 4.59e-01  0.0019  1.148  6.38e-08
    4000  1.953  5.947e-06  2.641e-05    0.225  0.0128 3.526e-07 1.144e-06  -0.1408 9.19e-04 2.63e-02 4.59e-01  0.0019  1.149  6.56e-08
    4016  1.961  5.894e-06  2.623e-05    0.225  0.0125 3.482e-07 1.132e-06  -0.1412 9.20e-04 2.62e-02 4.60e-01  0.0019  1.149  6.73e-08
    4032  1.969  5.842e-06  2.605e-05    0.224  0.0123 3.440e-07 1.120e-06  -0.1415 9.21e-04 2.60e-02 4.60e-01  0.0019  1.150  6.87e-08
    4048  1.977  5.790e-06  2.587e-05    0.224  0.0121 3.397e-07 1.108e-06  -0.1418 9.22e-04 2.59e-02 4.60e-01  0.0019  1.150  7.02e-08
    4064  1.984  5.739e-06  2.570e-05    0.223  0.0119 3.356e-07 1.097e-06  -0.1421 9.24e-04 2.58e-02 4.61e-01  0.0019  1.150  7.17e-08
    4080  1.992  5.689e-06  2.552e-05    0.223  0.0116 3.315e-07 1.085e-06  -0.1424 9.25e-04 2.56e-02 4.61e-01  0.0019  1.151  7.33e-08
    4096  2.000  5.639e-06  2.535e-05    0.222  0.0114 3.275e-07 1.074e-06  -0.1427 9.26e-04 2.55e-02 4.62e-01  0.0019  1.151  7.53e-08
