Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 128   R 51.20 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.024000e-02   eta 1.024000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 4.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2048 steps; running 4096 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 5.231e-05 9.607e-05   0.0400 1.58e-12 1.29e-01 2.30e-07  0.5064  0.913  0.00e+00
     528  0.258  2.216e-04  5.164e-04    0.429  0.0305 3.404e-05 9.687e-05   0.0321 2.81e-04 2.13e-01 2.11e-01  0.0068  0.894 -4.68e-09
     544  0.266  2.138e-04  5.013e-04    0.426  0.0311 3.285e-05 9.328e-05   0.0327 2.86e-04 2.17e-01 2.12e-01  0.0067  0.898 -4.76e-09
     560  0.273  2.064e-04  4.868e-04    0.424  0.0315 3.172e-05 8.982e-05   0.0331 2.92e-04 2.21e-01 2.14e-01  0.0066  0.901 -4.89e-09
     576  0.281  1.994e-04  4.729e-04    0.422  0.0319 3.064e-05 8.650e-05   0.0334 2.97e-04 2.24e-01 2.15e-01  0.0064  0.905 -4.76e-09
     592  0.289  1.928e-04  4.594e-04    0.420  0.0322 2.961e-05 8.331e-05   0.0336 3.02e-04 2.26e-01 2.17e-01  0.0063  0.908 -4.75e-09
     608  0.297  1.865e-04  4.465e-04    0.418  0.0326 2.863e-05 8.025e-05   0.0335 3.08e-04 2.27e-01 2.19e-01  0.0062  0.912 -4.45e-09
     624  0.305  1.805e-04  4.341e-04    0.416  0.0328 2.769e-05 7.730e-05   0.0332 3.13e-04 2.26e-01 2.20e-01  0.0061  0.915 -4.14e-09
     640  0.312  1.749e-04  4.221e-04    0.414  0.0331 2.678e-05 7.446e-05   0.0326 3.18e-04 2.25e-01 2.22e-01  0.0060  0.919 -4.19e-09
     656  0.320  1.695e-04  4.106e-04    0.413  0.0334 2.591e-05 7.172e-05   0.0319 3.23e-04 2.22e-01 2.24e-01  0.0059  0.922 -4.25e-09
     672  0.328  1.643e-04  3.996e-04    0.411  0.0338 2.508e-05 6.908e-05   0.0310 3.28e-04 2.21e-01 2.26e-01  0.0058  0.925 -4.22e-09
