# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB Bshell dmass
496 0.322917 1.76534679e-04 4.10100749e-04 0.430467 0.029017 4.779404e-05 1.279899e-04 0.031568 2.813442e-04 2.751380e-01 2.269671e-01 0.002044 0.895617 -1.223646e-06
512 0.333333 1.69709780e-04 3.95750103e-04 0.428831 0.029372 4.589850e-05 1.221098e-04 0.030598 2.887890e-04 2.748741e-01 2.290494e-01 0.002017 0.900220 -1.042356e-06
528 0.343750 1.63247630e-04 3.82039587e-04 0.427306 0.029847 4.407531e-05 1.164677e-04 0.029396 2.962637e-04 2.726923e-01 2.312204e-01 0.001941 0.904877 -8.606669e-07
544 0.354167 1.57119972e-04 3.68938168e-04 0.425871 0.030451 4.232354e-05 1.110686e-04 0.027996 3.037015e-04 2.688093e-01 2.334699e-01 0.001891 0.909497 -6.934471e-07
560 0.364583 1.51304492e-04 3.56430540e-04 0.424499 0.031158 4.064146e-05 1.059208e-04 0.026439 3.110582e-04 2.635252e-01 2.357831e-01 0.001838 0.914038 -5.491166e-07
576 0.375000 1.45779184e-04 3.44493112e-04 0.423170 0.031965 3.902552e-05 1.010245e-04 0.024754 3.183311e-04 2.571823e-01 2.381485e-01 0.001797 0.918529 -4.175608e-07
592 0.385417 1.40523167e-04 3.33093678e-04 0.421873 0.032855 3.747221e-05 9.637393e-05 0.022955 3.255305e-04 2.501095e-01 2.405574e-01 0.001760 0.923002 -2.865393e-07
608 0.395833 1.35520161e-04 3.22201480e-04 0.420607 0.033795 3.597867e-05 9.196161e-05 0.021052 3.326843e-04 2.425779e-01 2.430019e-01 0.001702 0.927466 -1.528839e-07
624 0.406250 1.30754191e-04 3.11790665e-04 0.419365 0.034774 3.454309e-05 8.778027e-05 0.019056 3.398018e-04 2.347984e-01 2.454724e-01 0.001662 0.931909 -2.117969e-08
640 0.416667 1.26211572e-04 3.01838577e-04 0.418143 0.035778 3.316454e-05 8.382258e-05 0.016973 3.468686e-04 2.269314e-01 2.479578e-01 0.001629 0.936304 1.012613e-07
656 0.427083 1.21880114e-04 2.92325131e-04 0.416933 0.036782 3.184242e-05 8.008072e-05 0.014802 3.538594e-04 2.194588e-01 2.504473e-01 0.001579 0.940616 2.100673e-07
672 0.437500 1.17746677e-04 2.83232444e-04 0.415725 0.037780 3.057518e-05 7.654580e-05 0.012547 3.607668e-04 2.139777e-01 2.529323e-01 0.001541 0.944839 3.078204e-07
688 0.447917 1.13797849e-04 2.74540536e-04 0.414503 0.038764 2.936022e-05 7.320606e-05 0.010218 3.676086e-04 2.085643e-01 2.554085e-01 0.001506 0.949003 4.025083e-07
704 0.458333 1.10021676e-04 2.66227369e-04 0.413262 0.039724 2.819533e-05 7.004819e-05 0.007825 3.743967e-04 2.031876e-01 2.578753e-01 0.001473 0.953124 4.988052e-07
720 0.468750 1.06407336e-04 2.58272613e-04 0.411996 0.040654 2.707910e-05 6.706003e-05 0.005379 3.811272e-04 1.978148e-01 2.603321e-01 0.001441 0.957187 5.936848e-07
736 0.479167 1.02945308e-04 2.50659304e-04 0.410698 0.041548 2.601041e-05 6.423152e-05 0.002890 3.877934e-04 1.924229e-01 2.627766e-01 0.001412 0.961170 6.816900e-07
752 0.489583 9.96272435e-05 2.43372692e-04 0.409361 0.042400 2.498801e-05 6.155362e-05 0.000367 3.943922e-04 1.870055e-01 2.652063e-01 0.001384 0.965053 7.603904e-07
768 0.500000 9.64445215e-05 2.36398477e-04 0.407974 0.043206 2.401031e-05 5.901752e-05 -0.002176 4.009213e-04 1.815692e-01 2.676194e-01 0.001358 0.968831 8.313486e-07
784 0.510417 9.33889010e-05 2.29721800e-04 0.406530 0.043957 2.307531e-05 5.661456e-05 -0.004727 4.073808e-04 1.776208e-01 2.700153e-01 0.001338 0.972511 8.985644e-07
800 0.520833 9.04529671e-05 2.23326829e-04 0.405025 0.044651 2.218086e-05 5.433609e-05 -0.007274 4.137807e-04 1.761264e-01 2.723940e-01 0.001319 0.976109 9.654076e-07
816 0.531250 8.76297633e-05 2.17197943e-04 0.403456 0.045283 2.132508e-05 5.217399e-05 -0.009808 4.201314e-04 1.736889e-01 2.747555e-01 0.001306 0.979624 1.031400e-06
832 0.541667 8.49129840e-05 2.11321485e-04 0.401819 0.045846 2.050644e-05 5.012130e-05 -0.012323 4.264320e-04 1.704195e-01 2.770983e-01 0.001287 0.983044 1.093003e-06
