# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB dmass
1056 1.031250 2.54353372e-05 8.44496331e-05 0.301189 -0.088905 3.905181e-06 1.128398e-05 0.231687 1.753839e-03 4.739074e-02 3.955113e-01 0.001812 2.300465e-06
1088 1.062500 2.35743067e-05 8.06870062e-05 0.292170 -0.087716 3.592196e-06 1.055683e-05 0.231667 1.783320e-03 4.546011e-02 3.975894e-01 0.001805 2.269616e-06
1120 1.093750 2.18648320e-05 7.71828191e-05 0.283286 -0.086607 3.306770e-06 9.890562e-06 0.231403 1.812108e-03 4.356444e-02 3.995492e-01 0.001760 2.238273e-06
1152 1.125000 2.02946465e-05 7.39140993e-05 0.274571 -0.085562 3.046472e-06 9.279329e-06 0.230951 1.840237e-03 4.171313e-02 4.013912e-01 0.001760 2.206758e-06
1184 1.156250 1.88522917e-05 7.08603514e-05 0.266049 -0.084568 2.809067e-06 8.717819e-06 0.230359 1.867741e-03 3.991335e-02 4.031186e-01 0.001728 2.175118e-06
1216 1.187500 1.75270972e-05 6.80032964e-05 0.257739 -0.083614 2.592499e-06 8.201247e-06 0.229670 1.894650e-03 3.817052e-02 4.047361e-01 0.001689 2.143534e-06
1248 1.218750 1.63091591e-05 6.53265985e-05 0.249656 -0.082690 2.394881e-06 7.725316e-06 0.228919 1.920994e-03 3.648866e-02 4.062496e-01 0.001664 2.112055e-06
1280 1.250000 1.51893147e-05 6.28156451e-05 0.241808 -0.081786 2.214481e-06 7.286181e-06 0.228136 1.946801e-03 3.487067e-02 4.076656e-01 0.001661 2.080789e-06
1312 1.281250 1.41591133e-05 6.04573294e-05 0.234200 -0.080896 2.049713e-06 6.880410e-06 0.227346 1.972094e-03 3.331853e-02 4.089905e-01 0.001674 2.049779e-06
1344 1.312500 1.32107843e-05 5.82398728e-05 0.226834 -0.080013 1.899132e-06 6.504938e-06 0.226568 1.996897e-03 3.183338e-02 4.102311e-01 0.001676 2.019090e-06
1376 1.343750 1.23372016e-05 5.61526575e-05 0.219708 -0.079132 1.761420e-06 6.157026e-06 0.225818 2.021231e-03 3.041564e-02 4.113935e-01 0.001707 1.988760e-06
1408 1.375000 1.15318461e-05 5.41860880e-05 0.212819 -0.078248 1.635378e-06 5.834227e-06 0.225107 2.045115e-03 2.908780e-02 4.124837e-01 0.001657 1.958829e-06
1440 1.406250 1.07887670e-05 5.23314658e-05 0.206162 -0.077359 1.519919e-06 5.534352e-06 0.224447 2.068568e-03 2.791226e-02 4.135074e-01 0.001630 1.929328e-06
1472 1.437500 1.01025422e-05 5.05808847e-05 0.199730 -0.076461 1.414058e-06 5.255434e-06 0.223842 2.091606e-03 2.721866e-02 4.144700e-01 0.001597 1.900283e-06
1504 1.468750 9.46823819e-06 4.89271373e-05 0.193517 -0.075552 1.316907e-06 4.995707e-06 0.223298 2.114244e-03 2.657252e-02 4.153762e-01 0.001612 1.871716e-06
1536 1.500000 8.88137213e-06 4.73636374e-05 0.187515 -0.074628 1.227659e-06 4.753578e-06 0.222817 2.136495e-03 2.593397e-02 4.162309e-01 0.001565 1.843645e-06
1568 1.531250 8.33787377e-06 4.58843507e-05 0.181715 -0.073689 1.145591e-06 4.527612e-06 0.222402 2.158373e-03 2.530463e-02 4.170383e-01 0.001518 1.816083e-06
1600 1.562500 7.83404995e-06 4.44837366e-05 0.176110 -0.072732 1.070046e-06 4.316508e-06 0.222052 2.179889e-03 2.468580e-02 4.178027e-01 0.001499 1.789042e-06
1632 1.593750 7.36655079e-06 4.31566967e-05 0.170693 -0.071757 1.000436e-06 4.119088e-06 0.221765 2.201053e-03 2.407853e-02 4.185279e-01 0.001502 1.762529e-06
1664 1.625000 6.93233813e-06 4.18985307e-05 0.165455 -0.070760 9.362274e-07 3.934282e-06 0.221541 2.221876e-03 2.348365e-02 4.192178e-01 0.001453 1.736550e-06
1696 1.656250 6.52865623e-06 4.07048977e-05 0.160390 -0.069742 8.769413e-07 3.761115e-06 0.221377 2.242367e-03 2.290182e-02 4.198761e-01 0.001429 1.711108e-06
1728 1.687500 6.15300484e-06 3.95717827e-05 0.155490 -0.068701 8.221450e-07 3.598700e-06 0.221269 2.262534e-03 2.237882e-02 4.205063e-01 0.001420 1.686204e-06
1760 1.718750 5.80311444e-06 3.84954660e-05 0.150748 -0.067636 7.714482e-07 3.446229e-06 0.221212 2.282386e-03 2.193022e-02 4.211119e-01 0.001404 1.661836e-06
1792 1.750000 5.47692378e-06 3.74724978e-05 0.146158 -0.066547 7.244985e-07 3.302961e-06 0.221204 2.301929e-03 2.164229e-02 4.216962e-01 0.001363 1.638002e-06
1824 1.781250 5.17255943e-06 3.64996740e-05 0.141715 -0.065431 6.809775e-07 3.168219e-06 0.221240 2.321171e-03 2.136324e-02 4.222624e-01 0.001337 1.614699e-06
1856 1.812500 4.88831725e-06 3.55740161e-05 0.137413 -0.064290 6.405973e-07 3.041385e-06 0.221314 2.340118e-03 2.109261e-02 4.228137e-01 0.001297 1.591920e-06
