# Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
# precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
# N 224   R 89.60 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
# nu 1.792000e-02   eta 1.792000e-02   magnetic wall: INSULATING (B = 0)
# eps 2.00 / 2.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
# one turnover 2R/u0 = 3584 steps; running 7168 (2.0 turnovers)
#
# step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
924  0.258  2.138e-04  3.930e-04    0.544  0.0363 1.160e-05 3.010e-05   0.0439 1.42e-03 2.44e-01 2.21e-01  0.2411  0.011 -8.20e-07
952  0.266  2.053e-04  3.795e-04    0.541  0.0376 1.111e-05 2.881e-05   0.0449 1.43e-03 2.42e-01 2.22e-01  0.2408  0.011 -8.40e-07
980  0.273  1.972e-04  3.664e-04    0.538  0.0385 1.063e-05 2.757e-05   0.0458 1.45e-03 2.37e-01 2.24e-01  0.2406  0.011 -8.61e-07
1008  0.281  1.895e-04  3.539e-04    0.536  0.0391 1.018e-05 2.638e-05   0.0466 1.46e-03 2.31e-01 2.25e-01  0.2407  0.010 -8.83e-07
1036  0.289  1.823e-04  3.419e-04    0.533  0.0398 9.746e-06 2.523e-05   0.0473 1.47e-03 2.22e-01 2.27e-01  0.2410  0.010 -9.05e-07
1064  0.297  1.755e-04  3.304e-04    0.531  0.0403 9.333e-06 2.413e-05   0.0479 1.48e-03 2.12e-01 2.28e-01  0.2414  0.010 -9.27e-07
1092  0.305  1.691e-04  3.194e-04    0.529  0.0407 8.941e-06 2.307e-05   0.0482 1.49e-03 2.04e-01 2.30e-01  0.2419  0.010 -9.52e-07
1120  0.312  1.630e-04  3.088e-04    0.528  0.0413 8.569e-06 2.205e-05   0.0485 1.50e-03 1.97e-01 2.32e-01  0.2423  0.010 -9.79e-07
1148  0.320  1.573e-04  2.986e-04    0.527  0.0419 8.213e-06 2.108e-05   0.0486 1.51e-03 1.89e-01 2.34e-01  0.2426  0.010 -1.01e-06
1176  0.328  1.519e-04  2.888e-04    0.526  0.0427 7.873e-06 2.014e-05   0.0485 1.52e-03 1.80e-01 2.35e-01  0.2428  0.010 -1.04e-06
1204  0.336  1.467e-04  2.795e-04    0.525  0.0440 7.550e-06 1.924e-05   0.0483 1.53e-03 1.71e-01 2.37e-01  0.2425  0.010 -1.07e-06
1232  0.344  1.418e-04  2.704e-04    0.525  0.0454 7.243e-06 1.838e-05   0.0480 1.54e-03 1.67e-01 2.39e-01  0.2419  0.010 -1.11e-06
1260  0.352  1.372e-04  2.618e-04    0.524  0.0468 6.950e-06 1.756e-05   0.0475 1.54e-03 1.64e-01 2.41e-01  0.2418  0.009 -1.15e-06
1288  0.359  1.329e-04  2.535e-04    0.524  0.0479 6.672e-06 1.678e-05   0.0470 1.55e-03 1.60e-01 2.43e-01  0.2421  0.009 -1.19e-06
1316  0.367  1.287e-04  2.456e-04    0.524  0.0490 6.407e-06 1.605e-05   0.0463 1.56e-03 1.55e-01 2.45e-01  0.2423  0.009 -1.24e-06
1344  0.375  1.247e-04  2.380e-04    0.524  0.0500 6.155e-06 1.535e-05   0.0456 1.57e-03 1.50e-01 2.47e-01  0.2424  0.009 -1.28e-06
1372  0.383  1.209e-04  2.308e-04    0.524  0.0510 5.913e-06 1.469e-05   0.0448 1.58e-03 1.46e-01 2.49e-01  0.2422  0.009 -1.33e-06
1400  0.391  1.173e-04  2.238e-04    0.524  0.0517 5.683e-06 1.406e-05   0.0439 1.59e-03 1.42e-01 2.51e-01  0.2420  0.009 -1.39e-06
1428  0.398  1.139e-04  2.171e-04    0.525  0.0522 5.463e-06 1.347e-05   0.0429 1.60e-03 1.38e-01 2.53e-01  0.2416  0.009 -1.44e-06
