# apparent-cp D3Q27  P=208 W spot=95 um dx=5e-06 m steps=131
t_s,depth_m
6.018069045e-06,0.000000000e+00
1.203613809e-05,0.000000000e+00
1.805420713e-05,0.000000000e+00
2.407227618e-05,4.506236147e-06
3.009034522e-05,7.500000000e-06
3.610841427e-05,7.500000000e-06
4.212648331e-05,7.770731286e-06
4.814455236e-05,1.987278924e-05
5.416262140e-05,3.487278924e-05
6.018069045e-05,4.237278924e-05
6.619875949e-05,5.737278924e-05
7.221682854e-05,6.487278924e-05
7.823489758e-05,7.237278924e-05
8.425296663e-05,7.987278924e-05
9.027103567e-05,8.737278924e-05
9.628910472e-05,9.487278924e-05
1.023071738e-04,1.023727892e-04
1.083252428e-04,1.098727892e-04
1.143433119e-04,1.140018215e-04
1.203613809e-04,1.173727892e-04
1.263794499e-04,1.215018215e-04
1.323975190e-04,1.288950344e-04
1.384155880e-04,1.362901373e-04
1.444336571e-04,1.369089675e-04
1.504517261e-04,1.444089675e-04
1.564697952e-04,1.490898422e-04
1.624878642e-04,1.519089675e-04
1.685059333e-04,1.594089675e-04
1.745240023e-04,1.639268693e-04
1.805420713e-04,1.669089675e-04
1.865601404e-04,1.744089675e-04
1.925782094e-04,1.789268693e-04
