t_s,depth_m
7.587324049e-06,0.000000000e+00
2.322372831e-04,0.000000000e+00
4.432859164e-04,8.620689655e-06
5.854993669e-04,1.379310345e-05
7.235328070e-04,1.681034483e-05
8.357041781e-04,1.896551724e-05
9.739051910e-04,1.939655172e-05
1.025573471e-03,2.198275862e-05
1.051351754e-03,2.413793103e-05
1.070296790e-03,6.508620690e-05
1.113102331e-03,7.112068966e-05
1.147519923e-03,7.327586207e-05
1.207520295e-03,8.060344828e-05
1.301910330e-03,9.051724138e-05
1.392064497e-03,9.913793103e-05
1.456300737e-03,1.077586207e-04
1.499022492e-03,1.150862069e-04
1.580258062e-03,1.280172414e-04
1.696386013e-03,1.357758621e-04
1.756470172e-03,1.418103448e-04
1.786372607e-03,1.469827586e-04
1.850943993e-03,1.504310345e-04
1.967071945e-03,1.581896552e-04
