t_s,depth_m
1.504517261e-06,0.000000000e+00
3.009034522e-06,0.000000000e+00
4.513551784e-06,0.000000000e+00
6.018069045e-06,0.000000000e+00
7.522586306e-06,0.000000000e+00
9.027103567e-06,0.000000000e+00
1.053162083e-05,0.000000000e+00
1.203613809e-05,0.000000000e+00
1.354065535e-05,0.000000000e+00
1.504517261e-05,0.000000000e+00
1.654968987e-05,0.000000000e+00
1.805420713e-05,0.000000000e+00
1.955872440e-05,0.000000000e+00
2.106324166e-05,0.000000000e+00
2.256775892e-05,7.500000000e-06
2.407227618e-05,7.500000000e-06
2.557679344e-05,7.500000000e-06
2.708131070e-05,7.500000000e-06
2.858582796e-05,7.500000000e-06
3.009034522e-05,7.500000000e-06
3.159486249e-05,7.500000000e-06
3.309937975e-05,7.500000000e-06
3.460389701e-05,7.500000000e-06
3.610841427e-05,1.074594302e-05
3.761293153e-05,1.177972514e-05
3.911744879e-05,1.824594302e-05
4.062196605e-05,1.824594302e-05
4.212648331e-05,2.574594302e-05
4.363100057e-05,2.574594302e-05
4.513551784e-05,3.324594302e-05
4.664003510e-05,3.324594302e-05
4.814455236e-05,3.750000000e-05
4.964906962e-05,4.074594302e-05
5.115358688e-05,4.142448813e-05
5.265810414e-05,4.142448813e-05
5.416262140e-05,4.824594302e-05
5.566713866e-05,4.892448813e-05
5.717165593e-05,4.892448813e-05
5.867617319e-05,5.574594302e-05
6.018069045e-05,5.642448813e-05
6.168520771e-05,5.677972514e-05
6.318972497e-05,6.324594302e-05
6.469424223e-05,6.427972514e-05
6.619875949e-05,6.427972514e-05
6.770327675e-05,7.074594302e-05
6.920779401e-05,7.177972514e-05
7.071231128e-05,7.177972514e-05
7.221682854e-05,7.824594302e-05
7.372134580e-05,7.927972514e-05
7.522586306e-05,7.927972514e-05
7.673038032e-05,8.574594302e-05
7.823489758e-05,8.677972514e-05
7.973941484e-05,8.677972514e-05
8.124393210e-05,9.324594302e-05
8.274844937e-05,9.427972514e-05
8.425296663e-05,9.427972514e-05
8.575748389e-05,9.427972514e-05
8.726200115e-05,1.017797251e-04
8.876651841e-05,1.017797251e-04
9.027103567e-05,1.017797251e-04
9.177555293e-05,1.092797251e-04
9.328007019e-05,1.092797251e-04
9.478458746e-05,1.092797251e-04
9.628910472e-05,1.092797251e-04
9.779362198e-05,1.167797251e-04
9.929813924e-05,1.167797251e-04
1.008026565e-04,1.167797251e-04
1.023071738e-04,1.232459430e-04
1.038116910e-04,1.232459430e-04
1.053162083e-04,1.239244881e-04
1.068207255e-04,1.239244881e-04
1.083252428e-04,1.253899650e-04
1.098297601e-04,1.307459430e-04
1.113342773e-04,1.307459430e-04
1.128387946e-04,1.328899650e-04
1.143433119e-04,1.328899650e-04
1.158478291e-04,1.382459430e-04
1.173523464e-04,1.382459430e-04
1.188568636e-04,1.389244881e-04
1.203613809e-04,1.389244881e-04
1.218658982e-04,1.403899650e-04
1.233704154e-04,1.403899650e-04
1.248749327e-04,1.457459430e-04
1.263794499e-04,1.478899650e-04
1.278839672e-04,1.478899650e-04
1.293884845e-04,1.478899650e-04
1.308930017e-04,1.532459430e-04
1.323975190e-04,1.532459430e-04
1.339020362e-04,1.532459430e-04
1.354065535e-04,1.553899650e-04
1.369110708e-04,1.553899650e-04
1.384155880e-04,1.553899650e-04
1.399201053e-04,1.600549845e-04
1.414246226e-04,1.600549845e-04
1.429291398e-04,1.628899650e-04
1.444336571e-04,1.628899650e-04
1.459381743e-04,1.638784668e-04
1.474426916e-04,1.638784668e-04
1.489472089e-04,1.638784668e-04
1.504517261e-04,1.638784668e-04
1.519562434e-04,1.704778140e-04
1.534607606e-04,1.704778140e-04
1.549652779e-04,1.713784668e-04
1.564697952e-04,1.713784668e-04
1.579743124e-04,1.713784668e-04
1.594788297e-04,1.779778140e-04
1.609833469e-04,1.779778140e-04
1.624878642e-04,1.779778140e-04
1.639923815e-04,1.779778140e-04
1.654968987e-04,1.779778140e-04
1.670014160e-04,1.779778140e-04
1.685059333e-04,1.854778140e-04
1.700104505e-04,1.854778140e-04
1.715149678e-04,1.854778140e-04
1.730194850e-04,1.854778140e-04
1.745240023e-04,1.854778140e-04
1.760285196e-04,1.854778140e-04
1.775330368e-04,1.929778140e-04
1.790375541e-04,1.929778140e-04
1.805420713e-04,1.929778140e-04
1.820465886e-04,1.929778140e-04
1.835511059e-04,1.929778140e-04
1.850556231e-04,1.929778140e-04
1.865601404e-04,1.991799682e-04
1.880646576e-04,1.991799682e-04
1.895691749e-04,1.991799682e-04
1.910736922e-04,2.004778140e-04
1.925782094e-04,2.004778140e-04
1.940827267e-04,2.004778140e-04
1.955872440e-04,2.004778140e-04
1.970917612e-04,2.079778140e-04
