# apparent-cp D3Q7  P=100 W spot=50 um dx=2.5e-06 m steps=773
t_s,depth_m
9.732414844e-07,0.000000000e+00
1.946482969e-06,0.000000000e+00
2.919724453e-06,0.000000000e+00
3.892965938e-06,0.000000000e+00
4.866207422e-06,0.000000000e+00
5.839448906e-06,0.000000000e+00
6.812690391e-06,6.268135789e-08
7.785931875e-06,1.481853611e-07
8.759173359e-06,3.458562888e-07
9.732414844e-06,5.580783542e-07
1.070565633e-05,8.244666952e-07
1.167889781e-05,1.093569623e-06
1.265213930e-05,1.309691043e-06
1.362538078e-05,1.506946458e-06
1.459862227e-05,1.779545599e-06
1.557186375e-05,2.058974939e-06
1.654510523e-05,3.015163242e-06
1.751834672e-05,4.045488111e-06
1.849158820e-05,4.751898059e-06
1.946482969e-05,7.261180782e-06
2.043807117e-05,9.625696130e-06
2.141131266e-05,1.064871823e-05
2.238455414e-05,1.217630280e-05
2.335779563e-05,1.412862970e-05
2.433103711e-05,1.579795050e-05
2.530427859e-05,1.697279265e-05
2.627752008e-05,1.919175997e-05
2.725076156e-05,1.941374194e-05
2.822400305e-05,2.137398495e-05
2.919724453e-05,2.209750607e-05
3.017048602e-05,2.387184996e-05
3.114372750e-05,2.598851658e-05
3.211696898e-05,2.754334733e-05
3.309021047e-05,2.911183238e-05
3.406345195e-05,2.959613406e-05
3.503669344e-05,3.144639699e-05
3.600993492e-05,3.338675017e-05
3.698317641e-05,3.458779841e-05
3.795641789e-05,3.659037916e-05
3.892965938e-05,3.695866725e-05
3.990290086e-05,3.982650658e-05
4.087614234e-05,4.073950318e-05
4.184938383e-05,4.214030637e-05
4.282262531e-05,4.302912092e-05
4.379586680e-05,4.390726784e-05
4.476910828e-05,4.567637497e-05
4.574234977e-05,4.700229476e-05
4.671559125e-05,4.881169116e-05
4.768883273e-05,4.903227268e-05
4.866207422e-05,5.048536349e-05
4.963531570e-05,5.171196451e-05
5.060855719e-05,5.307942392e-05
5.158179867e-05,5.431478782e-05
5.255504016e-05,5.576066902e-05
5.352828164e-05,5.698593707e-05
5.450152313e-05,5.893142938e-05
5.547476461e-05,5.954768214e-05
5.644800609e-05,6.070247221e-05
5.742124758e-05,6.215226014e-05
5.839448906e-05,6.330911042e-05
5.936773055e-05,6.470318880e-05
6.034097203e-05,6.676523752e-05
6.131421352e-05,6.704190835e-05
6.228745500e-05,6.958348333e-05
6.326069648e-05,6.980451470e-05
6.423393797e-05,7.137502845e-05
6.520717945e-05,7.214065671e-05
6.618042094e-05,7.445544880e-05
6.715366242e-05,7.526803707e-05
6.812690391e-05,7.647586975e-05
6.910014539e-05,7.714456964e-05
7.007338688e-05,7.911787522e-05
7.104662836e-05,8.002930959e-05
