# apparent-cp D3Q27  P=156 W spot=95 um dx=5e-06 m steps=392
t_s,depth_m
6.018069045e-06,0.000000000e+00
1.203613809e-05,0.000000000e+00
1.805420713e-05,0.000000000e+00
2.407227618e-05,0.000000000e+00
3.009034522e-05,0.000000000e+00
3.610841427e-05,0.000000000e+00
4.212648331e-05,2.500000000e-06
4.814455236e-05,2.500000000e-06
5.416262140e-05,5.000000000e-06
6.018069045e-05,5.000000000e-06
6.619875949e-05,5.000000000e-06
7.221682854e-05,5.000000000e-06
7.823489758e-05,7.500000000e-06
8.425296663e-05,7.500000000e-06
9.027103567e-05,7.500000000e-06
9.628910472e-05,1.000000000e-05
1.023071738e-04,1.000000000e-05
1.083252428e-04,1.000000000e-05
1.143433119e-04,1.000000000e-05
1.203613809e-04,1.250000000e-05
1.263794499e-04,1.250000000e-05
1.323975190e-04,1.500000000e-05
1.384155880e-04,2.000000000e-05
1.444336571e-04,2.500000000e-05
1.504517261e-04,3.000000000e-05
1.564697952e-04,3.500000000e-05
1.624878642e-04,4.000000000e-05
1.685059333e-04,4.250000000e-05
1.745240023e-04,4.500000000e-05
1.805420713e-04,5.000000000e-05
1.865601404e-04,5.250000000e-05
1.925782094e-04,5.750000000e-05
1.985962785e-04,6.000000000e-05
2.046143475e-04,6.250000000e-05
2.106324166e-04,6.750000000e-05
2.166504856e-04,7.000000000e-05
2.226685547e-04,7.250000000e-05
2.286866237e-04,7.500000000e-05
2.347046927e-04,8.000000000e-05
2.407227618e-04,8.250000000e-05
2.467408308e-04,8.500000000e-05
2.527588999e-04,9.000000000e-05
2.587769689e-04,9.250000000e-05
2.647950380e-04,9.500000000e-05
2.708131070e-04,9.750000000e-05
2.768311761e-04,1.000000000e-04
2.828492451e-04,1.050000000e-04
2.888673141e-04,1.075000000e-04
2.948853832e-04,1.100000000e-04
3.009034522e-04,1.125000000e-04
3.069215213e-04,1.150000000e-04
3.129395903e-04,1.175000000e-04
3.189576594e-04,1.200000000e-04
3.249757284e-04,1.200000000e-04
3.309937975e-04,1.225000000e-04
3.370118665e-04,1.250000000e-04
3.430299356e-04,1.275000000e-04
3.490480046e-04,1.300000000e-04
3.550660736e-04,1.325000000e-04
3.610841427e-04,1.350000000e-04
3.671022117e-04,1.375000000e-04
3.731202808e-04,1.400000000e-04
3.791383498e-04,1.425000000e-04
3.851564189e-04,1.450000000e-04
3.911744879e-04,1.475000000e-04
3.971925570e-04,1.500000000e-04
4.032106260e-04,1.525000000e-04
4.092286950e-04,1.550000000e-04
4.152467641e-04,1.550000000e-04
4.212648331e-04,1.564126303e-04
4.272829022e-04,1.589126303e-04
4.333009712e-04,1.614126303e-04
4.393190403e-04,1.639126303e-04
4.453371093e-04,1.639126303e-04
4.513551784e-04,1.664126303e-04
4.573732474e-04,1.689126303e-04
4.633913164e-04,1.689126303e-04
4.694093855e-04,1.739126303e-04
4.754274545e-04,1.739126303e-04
4.814455236e-04,1.764126303e-04
4.874635926e-04,1.789126303e-04
4.934816617e-04,1.789126303e-04
4.994997307e-04,1.839126303e-04
5.055177998e-04,1.839126303e-04
5.115358688e-04,1.864126303e-04
5.175539379e-04,1.889126303e-04
5.235720069e-04,1.889126303e-04
5.295900759e-04,1.914126303e-04
5.356081450e-04,1.935400811e-04
5.416262140e-04,1.936866427e-04
5.476442831e-04,1.960400811e-04
5.536623521e-04,1.985400811e-04
5.596804212e-04,1.986866427e-04
5.656984902e-04,2.010400811e-04
5.717165593e-04,2.035400811e-04
5.777346283e-04,2.036866427e-04
5.837526973e-04,2.060400811e-04
5.897707664e-04,2.085400811e-04
