# 95 um / 104 W keyhole reference trace, dx = 5 um (production)
# shipped calibrated constants: eta_min=0.12 d_ignite_m=2.325613196e-05 absorb_decay_depth_m=5.485328030e-05
# grid 61x61x300  dx=5.000000000e-06 m  dt=1.504517261e-06 s  steps=1332
# ignition_time_s=5.145449033e-04
t_s,depth_m
2.301911410e-04,1.000000000e-05
2.316956582e-04,1.000000000e-05
2.332001755e-04,1.000000000e-05
2.347046927e-04,1.000000000e-05
2.362092100e-04,1.000000000e-05
2.377137273e-04,1.000000000e-05
2.392182445e-04,1.000000000e-05
2.407227618e-04,1.000000000e-05
2.422272791e-04,1.000000000e-05
2.437317963e-04,1.000000000e-05
2.452363136e-04,1.000000000e-05
2.467408308e-04,1.000000000e-05
2.482453481e-04,1.000000000e-05
2.497498654e-04,1.000000000e-05
2.512543826e-04,1.000000000e-05
2.527588999e-04,1.000000000e-05
2.542634171e-04,1.122895409e-05
2.557679344e-04,1.122895409e-05
2.572724517e-04,1.122895409e-05
2.587769689e-04,1.122895409e-05
2.602814862e-04,1.122895409e-05
2.617860034e-04,1.122895409e-05
2.632905207e-04,1.122895409e-05
2.647950380e-04,1.258932288e-05
2.662995552e-04,1.258932288e-05
2.678040725e-04,1.258932288e-05
2.693085898e-04,1.258932288e-05
2.708131070e-04,1.258932288e-05
2.723176243e-04,1.258932288e-05
2.738221415e-04,1.258932288e-05
2.753266588e-04,1.258932288e-05
2.768311761e-04,1.258932288e-05
2.783356933e-04,1.258932288e-05
2.798402106e-04,1.258932288e-05
2.813447278e-04,1.258932288e-05
2.828492451e-04,1.258932288e-05
2.843537624e-04,1.258932288e-05
2.858582796e-04,1.258932288e-05
2.873627969e-04,1.258932288e-05
2.888673141e-04,1.258932288e-05
2.903718314e-04,1.355863789e-05
2.918763487e-04,1.355863789e-05
2.933808659e-04,1.355863789e-05
2.948853832e-04,1.355863789e-05
2.963899005e-04,1.355863789e-05
2.978944177e-04,1.355863789e-05
2.993989350e-04,1.355863789e-05
3.009034522e-04,1.355863789e-05
3.024079695e-04,1.355863789e-05
3.039124868e-04,1.355863789e-05
3.054170040e-04,1.355863789e-05
3.069215213e-04,1.355863789e-05
3.084260385e-04,1.355863789e-05
3.099305558e-04,1.355863789e-05
3.114350731e-04,1.355863789e-05
3.129395903e-04,1.355863789e-05
3.144441076e-04,1.355863789e-05
3.159486249e-04,1.355863789e-05
3.174531421e-04,1.355863789e-05
3.189576594e-04,1.355863789e-05
3.204621766e-04,1.355863789e-05
3.219666939e-04,1.355863789e-05
3.234712112e-04,1.355863789e-05
3.249757284e-04,1.355863789e-05
3.264802457e-04,1.355863789e-05
3.279847629e-04,1.355863789e-05
