t_s,depth_m
8.620689655e-06,0.000000000e+00
3.879310345e-05,0.000000000e+00
3.879310345e-05,2.606688017e-06
5.172413793e-05,1.297944440e-05
8.189655172e-05,1.903999404e-05
9.051724138e-05,3.157071572e-05
9.913793103e-05,4.669323006e-05
1.077586207e-04,5.749608997e-05
1.206896552e-04,6.614098458e-05
1.379310345e-04,8.299508453e-05
1.422413793e-04,9.509197885e-05
1.681034483e-04,1.011506666e-04
1.896551724e-04,1.097992850e-04
1.896551724e-04,1.193025248e-04
2.241379310e-04,1.249329709e-04
2.413793103e-04,1.366034855e-04
2.456896552e-04,1.474044835e-04
2.672413793e-04,1.590768601e-04
2.974137931e-04,1.733447531e-04
3.103448276e-04,1.854453713e-04
3.663793103e-04,1.794220600e-04
3.965517241e-04,1.824588516e-04
4.224137931e-04,1.837659194e-04
4.655172414e-04,1.872402622e-04
4.956896552e-04,1.889811574e-04
5.560344828e-04,1.920309823e-04
5.862068966e-04,1.920440158e-04
