t_s,depth_m
1.628249050e-05,0.000000000e+00
6.377076041e-05,0.000000000e+00
1.150201087e-04,8.189655172e-06
1.664649587e-04,1.422413793e-05
1.964511805e-04,1.810344828e-05
2.565353392e-04,2.413793103e-05
2.718868697e-04,5.387931034e-05
3.142455500e-04,6.681034483e-05
3.306863037e-04,7.974137931e-05
3.514187830e-04,9.310344828e-05
3.678036792e-04,1.068965517e-04
3.973430401e-04,1.176724138e-04
4.270220451e-04,1.262931034e-04
4.782993223e-04,1.349137931e-04
5.424517763e-04,1.448275862e-04
6.067438743e-04,1.525862069e-04
