# apparent-cp D3Q7  P=234 W spot=140 um dx=5e-06 m steps=208
t_s,depth_m
6.018069045e-06,0.000000000e+00
1.203613809e-05,0.000000000e+00
1.805420713e-05,0.000000000e+00
2.407227618e-05,0.000000000e+00
3.009034522e-05,0.000000000e+00
3.610841427e-05,0.000000000e+00
4.212648331e-05,0.000000000e+00
4.814455236e-05,0.000000000e+00
5.416262140e-05,0.000000000e+00
6.018069045e-05,2.319470358e-06
6.619875949e-05,3.486384237e-06
7.221682854e-05,3.675438193e-06
7.823489758e-05,4.811376135e-06
8.425296663e-05,7.319470358e-06
9.027103567e-05,7.319470358e-06
9.628910472e-05,7.319470358e-06
1.023071738e-04,7.319470358e-06
1.083252428e-04,1.211408453e-05
1.143433119e-04,1.211408453e-05
1.203613809e-04,1.211408453e-05
1.263794499e-04,1.211408453e-05
1.323975190e-04,1.211408453e-05
1.384155880e-04,1.211408453e-05
1.444336571e-04,1.211408453e-05
1.504517261e-04,1.211408453e-05
1.564697952e-04,1.315297051e-05
1.624878642e-04,1.315297051e-05
1.685059333e-04,2.211408453e-05
1.745240023e-04,2.711408453e-05
1.805420713e-04,3.211408453e-05
1.865601404e-04,3.711408453e-05
1.925782094e-04,4.211408453e-05
1.985962785e-04,4.711408453e-05
2.046143475e-04,5.211408453e-05
2.106324166e-04,5.711408453e-05
2.166504856e-04,6.211408453e-05
2.226685547e-04,6.211408453e-05
2.286866237e-04,6.711408453e-05
2.347046927e-04,7.211408453e-05
2.407227618e-04,7.711408453e-05
2.467408308e-04,8.142391758e-05
2.527588999e-04,8.642391758e-05
2.587769689e-04,8.742028249e-05
2.647950380e-04,9.242028249e-05
2.708131070e-04,9.642391758e-05
2.768311761e-04,1.014239176e-04
2.828492451e-04,1.064239176e-04
2.888673141e-04,1.064239176e-04
2.948853832e-04,1.114239176e-04
3.009034522e-04,1.164239176e-04
3.069215213e-04,1.164239176e-04
3.129395903e-04,1.214239176e-04
